#tail	head
RPL41	RPS5
PAICS	PLEKHA7
PAICS	SEH1L
PAICS	MTHFD1
PAICS	ADSL
OAZ2	AZIN1
OAZ2	GATA2
RAN	ZNF346
RAN	SEH1L
RAN	HIST1H1C
RAN	HIST1H3J
RAN	TGFBR1
IARS2	TUFM
IARS2	MTHFD1
RPS5	EIF3B
RPS5	TUFM
RPS5	SMG8
RPS5	RPL28
ZMIZ2	CPNE7
TMOD3	SEH1L
TMOD3	SPINT1
TMOD3	CHRNA5
STAG2	SEH1L
STAG2	SMC3
STAG2	FOXD3
STAG2	HIST1H3J
STAG2	POU3F1
STAG2	CCNB1
STX8	AP2M1
STX8	TGFBR1
STX8	VAMP8
BMP10	FAM209A
SORD	TALDO1
SORD	CAT
CCNB1	GTSE1
CCNB1	PSMA6
AZIN1	TGIF1
SEH1L	SMC3
SEH1L	HIST1H1C
SEH1L	HSPA4
SEH1L	SH3KBP1
SEH1L	PLEKHA7
SPINT1	SH3KBP1
SPINT1	TUFM
SPINT1	PLEKHA7
SPINT1	TALDO1
SPINT1	EIF3B
SPINT1	AP1M2
TUFM	SH3KBP1
HIST1H1C	AKAP11
AP2M1	AKAP11
AP2M1	STAM2
MYL12B	CHRNA5
MYL12B	SH3KBP1
MYL12B	FOXD3
MYL12B	PLEKHA7
KLHL1	TGIF1
KLHL1	FOXD3
VAMP8	SH3KBP1
GFPT1	TALDO1
ELF1	GNGT2
ELF1	ESM1
AK5	MTHFD1
SFRP4	AKAP11
PPFIA3	CHRNA5
PPFIA3	MTHFD1
STAM2	SH3KBP1
STAM2	INPP5J
PLEKHA7	TALDO1
HTR7	CAT
HTR7	GNGT2
SH3KBP1	SLC3A2
SH3KBP1	ANLN
SH3KBP1	GNGT2
SH3KBP1	TALDO1
BANP	ESM1
CARS	SLC3A2
GNGT2	INPP5J
GNGT2	HTR1D
PRPS2	ADSL
SORT1	BRIX1
SORT1	CAT
INPP5J	MTHFD1
AKAP11	RPL28
