#tail	head
SNAPIN	MYH7
ACPP	SLC27A3
ACPP	FN1
ACPP	ONECUT1
MASP1	JUN
MASP1	CACNA1D
MASP1	SLC8A2
HTR3D	CALD1
HTR3D	DLG4
HTR3D	ATP2C1
HTR3D	ACTN2
ONECUT1	VWA5A
ONECUT1	CACNA1D
ONECUT1	EDN1
AKR1D1	AKR1C2
AKR1D1	NOS3
AKR1D1	TP53
ALDH6A1	NOS3
ALDH6A1	ACSM3
ALDH6A1	TP53
ALDH6A1	THEM5
ISG15	SLC1A5
ISG15	ACOT8
TP53	NOS1
TP53	STK17A
TP53	EHMT1
TP53	MCOLN1
TP53	MAZ
TP53	SSRP1
TP53	IGF1
TP53	PKM
TP53	JUN
TP53	HIST1H1B
TP53	THPO
TP53	NOS3
TP53	F2
TP53	FN1
SLC27A3	GPAT4
SLC27A3	THEM5
SLC27A3	SLC6A3
SLC27A3	MAZ
SLC27A3	SLC1A5
SLC27A3	SLC8A2
SLC27A3	SLC7A6
PKM	HIST1H3D
PKM	IL13
PKM	THPO
PKM	SLC7A6
PKM	CTPS1
PKM	IGF1
PKM	NOS1
PKM	JUN
VWA5A	BCAS3
SDC2	COL4A1
SDC2	ITGB2
CTPS1	NOS3
CTPS1	ACOT8
THPO	FZD6
THPO	JUN
THPO	NOS3
THPO	ARF6
THPO	PRLR
OGDH	THEM5
OGDH	HADHA
FANCI	MRE11
COL4A1	BGN
ARF6	GATA4
ARF6	IGF1
ARF6	NOS1
ARF6	FN1
EHMT1	HIST1H3D
EHMT1	HIST1H3E
SSRP1	HIST1H3E
SSRP1	HIST1H3D
IL13	MAZ
IL13	JUN
IL13	PRLR
ATP2C1	ACTN2
ATP2C1	NEFL
NEFL	RCOR3
NEFL	DLG4
NEFL	PPP3R1
NEFL	SLC4A8
NEFL	SLC6A3
NEFL	CACNA1D
ACSM3	ACOT8
ACSM3	LCLAT1
MYH7	PPP3R1
MYH7	ACTN2
RAB2B	RAB4A
MRE11	HIST1H3E
TGFBI	ITGB2
TGFBI	FN1
FASLG	FZD6
FASLG	FN1
FASLG	STK17A
DLG4	ACTN2
DLG4	PPP3R1
DLG4	SLC8A2
DLG4	JUN
ATF1	CALD1
F2	IGF1
F2	FN1
F2	AKR1C2
MAZ	BCAR3
MAZ	FN1
MAZ	TRPV5
NOS1	EDN1
NOS1	GATA4
NOS1	AKR1C2
MLLT3	RBM48
ITGB2	ACTN2
ITGB2	BGN
ITGB2	ITGA2
TRPV3	PPP3R1
TRPV3	ACTN2
TRPV3	JUN
TRPV3	SLC8A2
TRPV3	CACNA1D
TRPV3	CALD1
HIST1H3D	JUN
HIST1H3D	HIST1H1B
ITGA2	CHKB
ITGA2	FN1
ITGA2	ACTN2
ITGA2	JUN
SLC8A2	SLC4A8
SLC8A2	MCOLN1
SLC8A2	SLC1A5
SLC8A2	CACNA1D
SLC8A2	ACTN2
SLC8A2	SLC7A6
MCOLN1	ACTN2
MCOLN1	FN1
MCOLN1	IGF1
BCAR3	HADHA
PPP3R1	TRPV5
PPP3R1	ACTN2
SLC6A3	SLC4A8
SLC4A8	ACTN2
SLC1A5	JUN
SLC7A6	ACTN2
SLC7A6	NOS3
CACNA1D	CALD1
CACNA1D	TRPV5
CALD1	IGF1
CALD1	TRPV5
CALD1	JUN
CALD1	ACTN2
IGF1	JUN
IGF1	FN1
FZD6	EDN1
STK17A	EDN1
TRPV5	EDN1
NOS3	FN1
SLC16A6	JUN
SLC16A6	HIST1H1B
FN1	HADHA
FN1	EDN1
FN1	JUN
HIST1H3E	JUN
HIST1H3E	HIST1H1B
HIST1H3E	BCAS3
JUN	BCAS3
