#tail	head
USP9Y	COPS7A
ARHGEF1	GNA13
ARHGEF1	RHOT1
ARHGEF1	PAX4
PKP4	MAZ
PKP4	MATR3
PKP4	NOG
PKP4	CAPZA2
HAUS6	NOG
HAUS6	SFI1
HAUS6	ELAVL1
HAUS6	HMG20A
HAUS6	EGLN3
HAUS6	CCDC93
HIST1H2BB	HIST1H4K
HIST1H2BB	AR
HIST1H2BB	PRMT1
HIST1H2BB	NR5A2
HIST1H2BB	TBL1XR1
HIST1H2BB	POU3F2
HIST1H2BB	CENPW
HIST1H2BB	REPIN1
HIST1H2BB	UBC
HIST1H2BB	PLK1
HIST1H2BB	TERF2
HIST1H2BB	NCOR2
GRK2	IFNG
GRK2	REPIN1
GRK2	MDM2
REPIN1	REEP6
REPIN1	TCF3
REPIN1	SET
REPIN1	TERF2
REPIN1	ATP1B2
REPIN1	RGS6
REPIN1	SLC4A2
REPIN1	HDAC3
REPIN1	TP53
REPIN1	KCNA2
SLAMF7	LEMD3
MDM2	UBE2S
MDM2	TP53
MDM2	NOG
MDM2	RELA
MDM2	UBE2G1
MDM2	HIST1H4K
MDM2	IFNG
MDM2	CUL4A
MDM2	AR
MDM2	RPS27A
MDM2	CCAR2
MDM2	MARS
MDM2	RARA
NAPA	GNA13
NAPA	ELAVL1
NAPA	JUP
NAPA	PRMT1
NAPA	OAT
NAPA	MATR3
NAPA	SET
NAPA	CLDND1
ATP1B2	RUNX1
ATP1B2	PAX4
ATP1B2	NCOA2
ATP1B2	NOG
ATP1B2	LRRC7
ATP1B2	SLC27A2
ATP1B2	KCNA2
NMU	NOG
NMU	GPSM1
JUP	SMN2
JUP	MAZ
JUP	IFNG
JUP	TCF3
JUP	PAX4
JUP	AR
JUP	INSIG2
JUP	FOXN1
JUP	SEC13
JUP	PHGDH
CNR1	TP53
CNR1	HIST1H4K
CNR1	GPSM1
GPSM1	NOG
GPSM1	HMG20A
SP4	NOG
SP4	MAZ
SDS	SLC7A6
SDS	HADHB
SDS	GMPR
GOT1	ASNS
GOT1	MARS
GOT1	SHMT2
GOT1	OAT
GOT1	RAB3A
GOT1	PPAT
GOT1	PHGDH
GOT1	MAZ
GOT1	CTPS1
GOT1	ADSSL1
ALDH18A1	ASNS
ALDH18A1	GMPR
ALDH18A1	EGLN3
ALDH18A1	SHMT2
ALDH18A1	PPAT
KCTD5	RARA
KCTD5	EGLN3
KCTD5	TP53
POU3F2	PAX4
POU3F2	TFB2M
POU3F2	SMOC2
POU3F2	ARHGEF12
POU3F2	MAZ
POU3F2	TCF3
GIT2	SMAD3
GIT2	HMG20A
GIT2	NOG
PPAT	AMPD1
PPAT	GMPR
PPAT	RAB3A
PPAT	HDAC3
PPAT	SLC27A2
PPAT	ASNS
SLC27A2	ASNS
SLC27A2	SLC7A6
SLC27A2	NOG
SLC27A2	ZDHHC8
SLC27A2	UBC
SLC27A2	AMPD1
SLC27A2	HADHB
SLC27A2	PRKAB1
SLC27A2	ADSL
RHOT1	UBC
RHOT1	ARHGEF12
RHOT1	RPS27A
RHOT1	GNA13
COMMD7	CCDC93
COMMD7	RELA
COMMD7	KBTBD6
COMMD7	CUL4A
COMMD7	FBXW5
NDP	TP53
NDP	TCF3
TMEM248	TMEM86B
TMEM248	CCDC93
CCAR2	HSPA1B
CCAR2	TP53
CCAR2	TNFRSF21
CCAR2	SET
CCAR2	SEC13
CCAR2	SMN2
CCAR2	MAZ
CCAR2	AR
AR	RUNX1
AR	NCOR2
AR	IL2
AR	TP53
AR	NCOA1
AR	HSPA1B
AR	UFC1
AR	RELA
AR	GNA13
AR	TBL1XR1
AR	HDAC3
RTP4	OR7A10
RTP4	OR1K1
RTP4	OR52N1
OR1K1	RTP2
OR1K1	REEP2
ZNF524	ATP12A
ZNF524	MAZ
ZNF524	FOXN1
RELA	EGLN3
RELA	PRMT1
RELA	SMAD3
RELA	IL2
RELA	S100B
RELA	IFNG
RELA	PLK1
RELA	RPS27A
RELA	NOG
RELA	HSPA1B
RELA	TP53
RELA	UBC
RELA	RARA
RELA	HIST1H4K
RELA	NCOR2
RELA	MATR3
RELA	PRKCZ
RELA	ZDHHC8
RELA	NOS2
