#tail	head
TREML2	POU3F2
SLC39A7	KRT2
SLC39A7	SLC39A4
SLC39A7	SLC30A7
EEFSEC	RPL39
EEFSEC	ELK1
TUBB1	RPL39
TUBB1	CUL3
TUBB1	U2AF2
TUBB1	RPS2
TUBB1	HIF1AN
STN1	HNF1A
STN1	PRIM1
STN1	TFAP4
MTMR3	LCK
MTMR3	TPST2
MTMR3	TFAP4
MTMR3	PIP5K1A
MTMR3	SYNJ2
HACD3	JUN
PDZD8	SRPRB
GGCX	HNF1A
POU3F2	LIN54
POU3F2	PAX2
POU3F2	HNF1A
POU3F2	BRS3
POU3F2	PQBP1
ATP5F1A	DMAC2L
ATP5F1A	MT-ATP6
ATP5F1A	CUL3
ATP5F1A	LCK
ATP5F1A	ATP5MF
ATP5F1A	JUN
RBM45	ATP5MF
RBM45	ELK1
RBM45	CUL3
RBM45	KIAA2013
U2AF2	PQBP1
U2AF2	ELK1
U2AF2	JUN
U2AF2	CUL3
U2AF2	RPS2
U2AF2	SAFB
CCDC137	ATP5MF
CCDC137	NOL12
ELK1	NME7
ELK1	NOL12
ELK1	AKTIP
ELK1	TTC23
ELK1	SLC30A7
ELK1	HIF1AN
ELK1	LCK
RPS2	JUN
RPS2	HSP90AB1
RPS2	NOL12
RPS2	CUL3
RPS2	SRP68
CPSF3	SSR1
CPSF3	HNRNPL
KRT28	KRT2
TUBGCP4	NME7
IGKV1-5	PIK3R5
IGKV1-5	PIP5K1A
IGKV1-5	LCK
IGKV1-5	IGHV3-11
IGKV1-5	FGF18
TFAP4	HNRNPL
TFAP4	AKTIP
TFAP4	HMGB3
IGHV3-11	FGFR4
IGHV3-11	ERBB3
IGHV3-11	LCK
KIAA0319	ACTR2
KIAA0319	SYNJ2
KIAA0319	PIK3R5
ACTR2	CLTB
ACTR2	PTPN1
ACTR2	FNBP1L
PTPN1	CDH17
PTPN1	SLC39A4
PTPN1	TPST2
PTPN1	FGFR4
PTPN1	ERBB3
KIAA2013	SKA3
RPL39	SSR1
RPL39	SRPRB
SYNJ2	CLTB
SYNJ2	FNBP1L
SYNJ2	PIK3R5
PIP5K1A	CD3D
PIP5K1A	ERBB3
PIP5K1A	CLTB
PIP5K1A	FNBP1L
PIP5K1A	FGF18
PIP5K1A	PIK3R5
SAFB	HSP90AB1
SAFB	JUN
SAFB	HNRNPL
SAFB	CUL3
SRP68	RPS20
SRP68	CUL3
CLTB	PQBP1
NKRF	CUL3
NKRF	JUN
KRT31	CUL3
KRT31	KRT3
MARCKS	PAX2
KRT3	KRT9
SRPRB	CUL3
SRPRB	JUN
SLC30A7	KRT9
CUL3	SSR1
CUL3	KRT2
CUL3	KRT9
CUL3	HNRNPL
CUL3	CSTB
HIST1H3I	RBL2
HIST1H3I	HMGB3
HIST1H3I	PRIM1
HIST1H3I	PQBP1
HIST1H3I	CMAS
FNBP1L	HNRNPL
FNBP1L	PIK3R5
RBL2	LIN54
RBL2	HNRNPL
HMGB3	JUN
TPST2	DUSP9
MT-ATP6	ATP5MF
DUSP9	PRIM1
DUSP9	ERBB3
ATP5MF	DMAC2L
DCLK2	HNRNPL
HIF1AN	NFKB2
HNRNPL	AKTIP
HNRNPL	GPR137B
HNRNPL	SSR1
HNRNPL	HNF1A
SYT1	PIK3R5
COL4A2	CLPSL1
COL4A2	LCK
FGFR4	LCK
PIK3R5	CD3D
TRAK2	KLC2
FGF18	LCK
NCAPH	KLC2
LCK	CD3D
LCK	ERBB3
CD3D	JUN
ERBB3	CDH17
CMAS	SSR1
CMAS	JUN
