#tail	head
RAC3	LDHB
ELANE	NR1H3
PURA	SEC23A
PURA	SFPQ
PURA	PHGDH
SLC22A1	CYP1A1
SLC22A1	SYT1
SLC22A1	NR1I2
SEC23A	HLA-DRA
SEC23A	SLC9A3R2
NDN	NRF1
MRPL43	MRPS24
FCGRT	FAM3C
FCGRT	LRP5
HDLBP	PHGDH
REEP5	MFN2
REEP5	GPR52
NRF1	ARHGEF15
NRF1	KIFAP3
FBXL3	COPS4
MRPS17	OXA1L
MRPS17	MTRF1L
ABCC6	MFN2
GPR52	LEF1
GPR52	HNF4A
LDHB	UBE2M
SLC9A3R2	PHGDH
SLC9A3R2	SOS1
SLC9A3R2	KIF3B
SLC9A3R2	WASF2
SLC9A3R2	UBE2M
SLC9A3R2	KIFAP3
TM9SF4	HNF4A
PHGDH	COPS4
PHGDH	UBE2M
MRPL33	MRPS12
MRPL33	MRPS24
MRPL33	OXA1L
AP2S1	HLA-DRA
AP2S1	SOS1
FAM3B	LRP5
FAM3B	FUT3
MRPS12	MTRF1L
MYOD1	LEF1
MYOD1	LRP5
LRP5	LEF1
MFN2	LEF1
RHOV	SOS1
OXA1L	MRPS24
SFPQ	LEF1
SFPQ	UBE2M
FUT3	ABO
WASF2	SOS1
NR1I2	HNF4A
NR1I2	NR1H3
MTRF1L	HNF4A
MTRF1L	MRPS24
MTRF1L	LEF1
PCDHGA4	LEF1
SOS1	LEF1
SOS1	HNF4A
SYT1	COPS4
NAA10	UBE2M
NAA10	HNF4A
NR1H3	HNF4A
KIF3B	HNF4A
HNF4A	UBE2M
UBE2M	COPS4
