#tail	head
MEX3B	SUZ12
SDHC	P4HA1
SDHC	FLOT1
CCL11	IL1B
CCL11	KNG1
CCL11	TP53
CCL11	HIF1A
MAPK8	HIST1H4I
MAPK8	INS
HIST1H4I	NONO
HIST1H4I	HIF1A
HIST1H4I	TLE1
HIST1H4I	IL1B
TP53	MCOLN1
TP53	PDCD6
TP53	TFAP2C
TP53	CD44
TP53	CA1
TP53	C1QC
TP53	HDAC9
TP53	KNG1
TP53	IFNA13
TP53	ZHX2
TP53	GTF2A1
TP53	BCL2L11
MAF	BMF
MAF	ZHX2
MAF	GTF2A1
MAF	GPC4
MAF	IL1B
CXCR4	ITIH2
CXCR4	HIF1A
CXCR4	IL1B
BCAN	VCAN
BCAN	CD44
BCAN	GPC4
MCM2	PDCD6
MCM2	INS
KRT1	ITIH1
KRT1	IL1B
KRT1	CA1
KRT1	KNG1
KRT1	SLC39A9
ITGB4	VCAN
ITGB4	CD44
ITGB4	TFAP2C
ITGB4	ITGB6
COL16A1	CD44
ITIH1	KNG1
ITIH1	AHSG
IFNA13	KNG1
IFNA13	AHSG
IFNA13	HIF1A
IFNA13	C1QC
TFAP2C	HIC1
TFAP2C	P4HA1
TLE1	HDAC9
TLE1	NONO
CD44	SLC3A2
CD44	ITGB6
CD44	VCAN
CD44	SLC39A9
LBP	CA1
LBP	IL1B
LBP	MCOLN1
SLC39A9	KNG1
SLC39A9	AHSG
ITGB6	VCAN
HIF1A	ARF3
HIF1A	P4HA1
HIF1A	BCL2L11
HIF1A	MCOLN1
HIF1A	IL1B
BCL2L11	INS
P4HA1	PDCD6
MCOLN1	ITIH2
C1QC	IL1B
GPC4	VCAN
GPC4	ZHX2
KNG1	IL1B
AHSG	IL1B
GTF2A1	INS
ITIH2	IL1B
INS	HIC1
INS	ARF3
INS	NONO
IL1B	CA1
CA1	C3
