#tail	head
CATSPERD	SLC24A1
ACOT2	SLC25A16
ACOT2	CPT1B
ACOT2	ELOVL6
ACOT2	PLA2G4A
PDE4B	SEPHS1
PDE4B	NME6
PDE4B	KRT1
PDE4B	PRKAG1
PDE4B	NOG
PDE4B	FOXJ2
GNB1	HLA-DRA
GNB1	PTPN11
GNB1	ATP1A1
GNB1	PPP1CA
GNB1	GPR37
GNB1	TRIM25
GNB1	NRG4
GNB1	HRAS
COL7A1	NOG
COL7A1	BACH1
COL7A1	SEC24D
ESR1	NR2F2
ESR1	MAZ
ESR1	TRIM25
ESR1	PPRC1
ESR1	FOXF2
ESR1	SEPHS1
ESR1	KRT1
ESR1	HRAS
ESR1	THRAP3
ESR1	CA1
ESR1	NPM1
ESR1	NFE2L1
ESR1	CHRNA3
ESR1	IRF1
ELOVL6	CPT1B
ELOVL6	MAZ
ELOVL6	ACAT2
ELOVL6	TRIM25
ELOVL6	FOXF2
ELOVL6	PLA2G12B
ELOVL6	PLA2G4A
GGH	PFKL
GGH	GART
HRAS	PTPN11
HRAS	NRG4
NDST4	GPC3
NDST4	MAZ
NDST4	NOG
NDST4	NPM1
NDST4	NFE2L1
NDST4	FOXF2
MCTS1	OTUD6B
MCTS1	PRRX2
ORMDL3	PTPN11
ORMDL3	SLC25A16
TMEM231	NOG
TMEM231	CHRNA3
UCN2	BACH1
NR2F2	PLEC
NR2F2	VTA1
NR2F2	NOG
NR2F2	SLC23A3
NR2F2	MAZ
NR2F2	TRIM25
NR2F2	MEF2A
MEF2A	ATOH7
MEF2A	TRIM8
MEF2A	CPT1B
MEF2A	PRKAG1
PKP2	NOG
PKP2	DSG3
PKP2	EED
CHORDC1	SLC25A14
CHORDC1	SEPHS1
DSG3	MAZ
NFE2L1	HS3ST2
NFE2L1	PLEC
NFE2L1	PARVA
NFE2L1	BACH1
DDIT4L	KCTD15
DDIT4L	SEPHS1
DDIT4L	TNS2
GPC3	SEPHS1
GPC3	NOG
GPC3	NPM1
GPC3	HS3ST2
BACH1	SEC24D
BACH1	PLEC
NME6	PFKL
NME6	SEPHS1
NME6	ACAT2
PRRX2	KCTD15
FOXF2	FOXJ2
FOXF2	TNS2
FOXF2	TRIM8
FOXF2	KRT1
FOXF2	CTDSPL2
FOXF2	SLC23A3
FOXF2	KCTD15
DYNLL1	PRKAG1
DYNLL1	PLA2G4A
DYNLL1	EED
DYNLL1	HLA-DRA
DYNLL1	RAB4A
DYNLL1	HLA-DPA1
DPEP1	GHITM
CTDSPL2	NUP93
PFKL	ACAT2
THRAP3	KRT1
THRAP3	PLEC
THRAP3	ZIC1
THRAP3	MAZ
IRF1	SLC25A14
ACAT2	CPT1B
ACAT2	SLC25A16
PPP1CA	PRKAG1
PPP1CA	EED
PPP1CA	TRIM25
PPP1CA	SEPHS1
NOG	GPR37
NOG	ACSS1
NOG	KCTD15
NOG	ZIC1
NOG	ATOH7
NOG	PARVA
NOG	HLA-DRA
NOG	ATP1A1
NOG	PTPN11
NOG	SLC25A16
NOG	AP1M2
NOG	EED
NOG	SEC24D
NOG	TRIM8
PARVA	OTUD6B
GART	MAZ
GART	SEPHS1
PLA2G4A	CPT1B
ATP6V0E1	CA1
TRIM25	TRIM8
TRIM25	PTPN11
TRIM25	NPM1
PRKAG1	FOXJ2
TRIM8	MAZ
NUP93	EED
EED	PLEC
EED	KRT1
SEC24D	HLA-DRA
SEC24D	HLA-DPA1
SEC24D	MAZ
TNS2	MAZ
HLA-DPA1	HLA-DRA
HLA-DPA1	PTPN11
HLA-DPA1	SLC25A16
HLA-DPA1	AP1M2
VTA1	SEPHS1
GHITM	GPR37
SEPHS1	AP1M2
KRT1	PLEC
KRT1	CA1
KCTD15	FOXJ2
SLC24A1	HLA-DRA
SLC24A1	ATP1A1
SLC24A1	CHRNA3
FOXJ2	PLEC
SLC25A16	ACSS1
SLC25A16	CPT1B
CPT1B	MAZ
HLA-DRA	AP1M2
PTPN11	PLEC
CHRNA3	ATP1A1
