#tail	head
CXCL14	NF1
HIST1H2BO	PAXIP1
HIST1H2BO	AJUBA
HIST1H2BO	CDC73
CCL21	GNG7
CCL21	XCL1
CCL17	VCAM1
HSPA8	POLR2A
HSPA8	SRSF11
HSPA8	PSMA3
HSPA8	RBM8A
HSPA8	VCAM1
HSPA8	CENPO
HSPA8	TUBGCP3
PAXIP1	HIST1H3I
PAXIP1	SRSF4
GNG7	XCL1
GNG7	INPP5K
GNG7	GPSM1
GNG7	PIP5K1B
XCL1	GNG11
HIST1H2AL	HIST1H3I
HIST1H2AL	GATAD2B
NCSTN	DPF2
NCSTN	SRSF11
RPL19	RPS28
RPL19	RBM8A
TPBG	SRSF11
SMAD5	TOB1
DPF2	HIST1H3I
ATF3	CEBPB
ATF3	AJUBA
INPP5K	GNG11
INPP5K	POLR2A
INPP5K	NXF1
INPP5K	CD3G
INPP5K	NECAP2
SRSF4	CFAP20
ARF6	PIP5K1B
ARF6	NECAP2
FYN	CD3G
HIST1H3I	GATAD2B
HIST1H3I	CPVL
HIST1H3I	RPS28
HIST1H3I	AJUBA
GNG11	CD3G
GNG11	GPSM1
GNG11	OPN1SW
INTS4	INTS6
CFAP20	HNF4A
CFAP20	THOC5
CFAP20	SRSF11
CFAP20	RBM8A
IGFBP6	KRTAP10-8
ITGA6	NXF1
PIP5K1B	NECAP2
PIP5K1B	PLD2
PIP5K1B	ACTR3
PIP5K1B	CD3G
CPVL	ABHD12
RPS6KA5	CEBPB
NF1	RGN
NF1	NXF1
NF1	NELFCD
VCAM1	RPS28
VCAM1	PRDX6
VCAM1	ACTR3
GCLC	PRDX6
INTS6	POLR2A
INTS6	NELFE
MBD3L1	NXF1
DNAJC14	HNF4A
RBM8A	SRSF11
NELFCD	ELOA2
TUBGCP3	MAGED2
TUBGCP3	NXF1
TRIM14	ACTR3
POLR2A	HNF4A
POLR2A	CDC73
POLR2A	LIMS1
MAGED2	CEBPB
ACTR3	NXF1
ACTR3	CD3G
ACTR3	HNF4A
ELOA2	NELFE
MBD1	LIMS1
MBD1	NXF1
RPS28	HNF4A
MRPS21	NXF1
NECAP2	CD3G
CDC73	NELFE
CD3G	HNF4A
THOC5	NXF1
NXF1	SRSF11
