#tail	head
GOT1L1	ALDH18A1
RPRD1B	HSPA5
RPRD1B	PCF11
RPRD1B	LEF1
RPRD1B	CLTA
RPRD1B	GTF2A2
RPRD1B	RCN1
RPRD1B	AHCY
RPRD1B	NDUFS2
RPRD1B	G3BP2
RPRD1B	CSNK2A1
RPRD1B	SPECC1
RPRD1B	ZNF703
VTN	CSNK2A1
VTN	DLG3
VTN	SF3B1
VTN	SLC8A1
VTN	HACD2
HSPA5	PSME3
HSPA5	NCOA1
HSPA5	POLR2E
HSPA5	NUP54
HSPA5	SF1
HSPA5	RPS27A
HSPA5	AHCY
HSPA5	CTTN
HSPA5	RCN1
ATP4B	STX1A
TMOD2	DMD
TMOD2	CATSPERG
TRIM24	YWHAB
TRIM24	PLCG1
TRIM24	HIST1H3D
TRIM24	CYFIP1
DLG3	ITGA1
DLG3	CSNK2A1
DLG3	NOG
DLG3	SRC
DLG3	NCOA1
MDM2	PTK2
MDM2	SF3B1
MDM2	PPP2CA
MDM2	GNL2
MDM2	PLK1
MDM2	PSME3
MDM2	FOXF2
FRS2	SRC
FRS2	GABPB1
FRS2	CYFIP1
FRS2	IGHV4-39
FRS2	IGHV1-46
FRS2	RPS27A
MAPK13	NOG
MAPK13	DUSP21
MAPK13	CLTC
MAPK13	CHRNA7
MAPK13	FOS
CLTA	RPS27A
CLTA	BTC
CLTA	CTTN
CLTA	RAB5A
CLTA	SRC
CLTA	SF1
FOXJ1	CPEB3
FOXJ1	DMD
YWHAB	HIST1H3B
YWHAB	LEF1
YWHAB	POU2F1
YWHAB	PPP2CA
YWHAB	ITGA6
YWHAB	CLASP2
YWHAB	CSNK2A1
RPL10	SRC
RPL10	HIST1H3D
RPL10	MYBBP1A
RPL10	RPS27A
BTC	FZD2
BTC	CYFIP1
BTC	GRM6
BTC	RAB5A
BTC	IGHV4-39
BTC	IGHV1-46
HIST1H3B	NOG
HIST1H3B	MYBBP1A
HIST1H3B	PHKG2
HIST1H3B	POU2F1
HIST1H3B	NSD2
HIST1H3B	PLK1
HIST1H3B	HIST1H2BH
HIST1H3B	SRC
HIST1H3B	EGR2
HIST1H3D	MEIS1
HIST1H3D	POU2F1
HIST1H3D	NSD2
HIST1H3D	RBBP5
HIST1H3D	PLK1
HIST1H3D	JADE2
HIST1H3D	FOS
HIST1H3D	BAZ1B
HIST1H3D	KDM4D
