#tail	head
TRIP12	CAPN1
CAPN1	SPTBN1
CLDN3	PMAIP1
SEC23A	DHX15
SEC23A	WBP11
SEC23A	HADHA
SEC23A	HIST1H4F
SEC23A	GNAQ
SEC23A	CDH1
SEC23A	HIST1H4B
GRP	GNA11
GRP	GNA15
HIST2H2AA4	KMT5A
HIST2H2AA4	HIST1H3I
HIST2H2AA4	HIST1H3H
SEC24C	EWSR1
SEC24C	ILF2
ADAMTS10	YTHDC1
IL6	EGF
IL6	HIST1H4H
IL6	FZD8
IL6	BMP2
IL6	HIST1H4B
IL6	SLC31A2
IL6	HIST1H4F
IL6	GSS
HIST1H4B	BRCC3
HIST1H4B	INO80B
HIST1H4B	PPARG
HIST1H4B	POLR2G
HIST1H4B	YAP1
GNG11	ADORA3
GNG11	NME2
GNG11	CPSF6
GNG11	ESR2
GNG11	CCL5
GNG11	GNA11
GNG11	GPSM3
GNG11	FLT3LG
GNG11	GNGT2
GNG11	FGF5
GNG11	GNAQ
DHX15	TRIP4
DHX15	YAP1
DHX15	INO80B
DHX15	CSTF3
DHX15	SPTBN1
DHX15	ILF2
DHX15	CPSF6
TP53BP1	BRCC3
TP53BP1	HIST1H3H
TP53BP1	CPSF6
KMT5A	HIST1H4F
CCDC43	CDH1
GNAQ	SPTBN1
GNAQ	GNGT2
GNAQ	FZD8
PPARD	SMAD9
VSX1	FUNDC1
VSX1	PDE7A
HIST1H4F	HIST1H3I
HIST1H4F	COPRS
HIST1H4F	TRPM6
HIST1H4F	TRIP4
HIST1H4F	INO80B
HIST1H4F	HIST1H3H
HIST1H4F	EWSR1
HEPHL1	SLC31A2
FZD8	FGF5
FZD8	NRG1
WDR33	INO80B
WDR33	CWC22
WDR33	CSTF1
WDR33	CSTF3
HIST1H2BK	POLR2G
HIST1H2BK	ESR2
HIST1H2BK	HIST1H3H
BUD31	HTATSF1
BUD31	CWC22
GPSM3	GNGT2
HADHA	HIST1H3H
HADHA	TRIP4
HADHA	ATP1B1
FLT3LG	IGLV2-8
MT3	SLC30A6
TRPM6	PYGL
TRPM6	TNNT1
PYGL	ATP1B1
GNA11	GNGT2
HTATSF1	SNRPD2
HTATSF1	ZNF512B
HTATSF1	SNRPE
COQ2	ILF2
HIST1H4H	PPARG
HIST1H4H	BRCC3
HIST1H4H	POLR2G
HIST1H4H	HIST1H3I
HIST1H4H	TRIP4
SLC5A9	SLC27A5
CSTF3	ESR2
CSTF3	SNRPD2
CSTF3	CSTF1
CSTF3	CWC22
HKDC1	NME2
HKDC1	SLC27A5
ATG12	DOCK9
SMAD2	PIAS4
SMAD2	PRDM14
SMAD2	YAP1
SMAD2	CDH1
EIF4E2	PRDM14
ESR2	ZNF512B
ESR2	FGF5
ESR2	TRAF4
ESR2	GNGT2
ESR2	CXCL12
ESR2	POLR2G
ESR2	ARID5B
ESR2	NME2
ESR2	IGLV2-8
ESR2	SNRPD2
ESR2	HIST1H3H
ESR2	BMP2
ESR2	YTHDC1
PROCR	CD177
ARID5B	HIST1H3I
ARID5B	INO80B
ARID5B	SPTBN1
COPRS	HIST1H3H
CWC22	SNRPE
CWC22	WBP11
CWC22	DHX35
CWC22	AQR
CCL5	EGF
CCL5	PPARG
PIAS4	PRPF40A
PIAS4	BRCC3
GNGT2	NRG1
GNGT2	GRAP2
GNGT2	IGLV2-8
YTHDC1	PICK1
YTHDC1	ILF2
PMAIP1	TMEM205
EWSR1	CPSF6
EWSR1	SNRPE
EWSR1	WBP11
EWSR1	TRIP4
EWSR1	PRPF40A
SMAD9	JUND
HIST1H3I	INO80B
HIST1H3I	SPTBN1
HIST1H3I	DHX35
IGLV2-8	BAIAP2
IGLV2-8	WASF3
IGLV2-8	NRG1
SNRPE	NRG1
SNRPE	MFAP1
SNRPE	CSTF1
DHX35	CEP89
WASF3	BAIAP2
WASF3	FGF5
WASF3	CPSF6
DAPK1	TNIP2
PPARG	TNIP2
PPARG	GRPEL1
PPARG	JUND
GRAP2	NRG1
CPSF6	AQR
CPSF6	NRG1
CPSF6	MFAP1
PPP1R15A	ILF2
FGF5	EGF
FGF5	BAIAP2
ZNF512B	TNIP2
ZNF512B	HIST1H3H
AMPD1	PDE7A
AMPD1	SLC27A5
AMPD1	ASNS
PRPF40A	WBP11
BAIAP2	TNIP2
BAIAP2	EGF
SPTBN1	YAP1
SPTBN1	INO80B
DOCK9	CDH1
JUND	SLC25A12
SNRPD2	MFAP1
SNRPD2	CSTF1
SNRPD2	ILF2
TRAF4	WBP11
TRAF4	HOXB3
TRIP4	ASNS
HIST1H3H	CDH1
SLC27A5	ASNS
SLC27A5	PDE7A
CSTF1	WBP11
ASNS	SLC25A12
WBP11	MFAP1
WBP11	AQR
