#tail	head
PRR5L	CBFA2T2
ATF2	DHX8
ATF2	H2AFX
ATF2	NOG
ATF2	CBX3
PLK3	AKT1
PRPF31	THOC7
PRPF31	SIAH1
E2F4	TRIM28
AGA	ATM
AGA	ADGRG2
KDM6A	TP53
HTR3A	RAB3A
HTR3A	KCNJ12
HTR3A	SYT1
KCNJ12	NOG
TRAPPC11	NOG
TRAPPC11	TP53
TRIM28	CBX3
TRIM28	HIST1H3C
TRIM28	POLR2E
ESR1	CDKN1A
ESR1	PPIA
ESR1	MMP9
PPM1A	KDR
PPM1A	AKT1
PPM1A	NOG
AKT1	MMP9
AKT1	GRAP2
AKT1	PPIA
AKT1	CAT
PTGDS	BCAT2
SLC24A2	TRPV1
SLC24A2	HTR3D
SLC24A2	DLG4
ZSWIM9	ZMYM4
YWHAB	TP53
TRPV1	EGF
TRPV1	MMP9
TRPV1	NOG
TRPV1	RAB3A
TRPV1	OXTR
TRPV1	ACTA2
BCAT2	NDUFS6
ACTR3	NOG
PIK3R6	SHC1
PIK3R6	IGHV4-59
KIAA0355	ABI2
FN1	ATM
FN1	CAT
FN1	MMP3
FN1	CSNK2B
AKT2	EGF
AKT2	SHC1
AKT2	HIST1H3C
RPS2	CDKN1A
LIN7B	RAB3A
SOX5	CTBP2
SOX5	NOG
SIAH1	ATM
ZMYM4	CBX3
RAB3A	MYC
RAB3A	HTR3D
MMP9	PTH
MMP9	OXTR
PTH	CASP3
KAT14	NOG
YWHAE	HIST1H3C
YWHAE	NOG
CDKN1A	CYP1B1
CDKN1A	SHC1
CDKN1A	TP53
CDKN1A	CASP3
CDKN1A	NOG
HIST1H3C	NOG
HIST1H3C	ZZZ3
HIST1H3C	H2AFX
HIST1H3C	CHAMP1
HIST1H3C	CBX3
PI4KB	CDK7
MYC	NOG
MYC	ATM
MYC	RBBP4
MYC	H2AFX
GRIN2D	HTR3D
SAMD4B	ACTA2
NDUFA4	TMEM205
NOG	SLC16A2
NOG	CDH2
NOG	TMEM205
NOG	MMP3
NOG	ADGRG2
NOG	CASP3
NOG	RBBP4
NOG	CTBP2
KDR	SHC1
KDR	ABI2
KDR	S100A13
SHC1	EGF
SHC1	DLG4
SHC1	ABI2
MSI2	H2AFX
GRAP2	EGF
GRAP2	CROT
GRAP2	ATM
GRAP2	KLRK1
ETS1	SLC16A2
ETS1	CSNK2B
ETS1	TP53
DIO3	SLC16A2
CDH2	ACTA2
CASP3	TMEM205
ITGA1	HTR3D
POLR2E	ATM
NDUFB4	NDUFB10
NDUFB10	NDUFS6
ATM	H2AFX
EGF	S100A13
EGF	TP53
HTR3D	DLG4
ABI2	DTNB
TP53	CAT
TP53	CSNK2B
ZNF552	CBX3
H2AFX	RBBP4
H2AFX	PKNOX1
