#tail	head
IGKV3-15	IGHD
SLC29A2	PTK2
OCRL	RPS27A
OCRL	HS2ST1
OCRL	MCOLN1
SORBS1	MYC
NOX4	PTK2
NOX4	IL6
NOX4	TGFB1
NOX4	MYC
NOX4	ICAM1
NOX4	IFNG
STX12	PQLC1
ACSM6	MYOD1
IL6	IFNG
IL6	HMGCR
IL6	MAVS
DEF8	TUBE1
GPI	TKTL2
GPI	DCXR
ICAM1	PTK2
ICAM1	PRKCQ
ICAM1	GLRX
ICAM1	TGFB1
ICAM1	MYC
UGT2B11	GBGT1
HRH1	PTK2
BLVRB	DCXR
TGFB3	NODAL
HS2ST1	UXS1
LRRK2	PTK2
LRRK2	ARF1
LRRK2	RAB1B
CDC37	RPS27A
CDC37	NOS3
CDC37	TGFB1
ARFGAP1	ARF1
ARFGAP1	BCR
DNA2	HMGCR
DNA2	RAD51AP1
IFNG	SDC1
IFNG	TGFB1
IFNG	ZFP36
IFNG	DCXR
SDC1	PTK2
ENTPD4	SLC35B4
RPS27A	ERBB4
RPS27A	RAD51AP1
RPS27A	NOTCH2
BCR	MYC
MYOD1	NOTCH1
ZC3H12A	MAVS
PTK2	INHBA
PTK2	MYC
PTK2	PRKCQ
PTK2	TGFB1
PTK2	GSS
PTK2	SLC10A1
PTK2	ADH4
PTK2	APAF1
LGALS7B	MYC
KYAT1	NME2
GMPR2	DCXR
DCXR	NOTCH1
MCOLN1	ZFP36
MCOLN1	MYC
RAD51AP1	MYC
HMGCR	NME2
IGHD	PRKCQ
FTMT	ZFP36
XIRP2	PNPT1
SOD2	NOTCH1
SOD2	TGFB1
NOTCH1	TGFB1
NOTCH1	MYC
NME2	OPLAH
NME2	ADH4
NODAL	TGFB1
TGFB1	MYC
