#tail	head
ATF2	NFIL3
IFI35	CSNK2A1
PEX2	GABPA
RPS26	RPS4X
ELL	TAF1
ELL	INTS11
ELL	EGR1
AGA	CNOT1
RCC1L	PITX2
WWP2	MAZ
WWP2	HIST1H4H
GABPA	MAPK3
GABPA	PSENEN
HTR3A	KCNJ3
SMAD6	RPS6KA5
APH1B	APP
BAG1	PYGL
BAG1	AR
TP53BP2	RELA
TP53BP2	NXF1
TP53BP2	PLK1
TP53BP2	PLEKHN1
CNOT1	OR2T6
CNOT1	PCED1B
LIF	ADORA2A
LIF	EGF
DRD2	CRH
DRD2	CARM1
DRD2	VDR
UBE2D2	RELA
UBE2D2	HUWE1
UBE2D2	DTX3L
UBE2D2	EGF
KLHDC4	NXF1
RAB1A	ARCN1
RAB1A	RAB20
GRM8	KCNJ3
GRM8	EGF
NAF1	KRTAP19-7
NFIL3	DMXL2
NFIL3	CYLD
PKDREJ	CXCL8
LNX2	NXF1
SH3BP5	QTRT2
PRICKLE1	APP
DYNLL2	SGO2
CBL	HIP1R
CBL	TRIM8
IQGAP1	CLINT1
IQGAP1	MAP2K2
IQGAP1	ADD1
IQGAP1	SDC4
UBE2I	HIST1H2BA
UBE2I	PML
UBE2I	SEH1L
LRFN4	HIP1R
LRFN4	SLITRK5
SIN3A	ADD1
SIN3A	HSPA1A
AR	HIST1H2BM
AR	H2AFZ
AR	HIST2H2BE
AR	GLI1
AR	GSN
AR	CYLD
USP9X	INS
USP9X	UBE2B
USP9X	HUWE1
SEC23B	SQSTM1
SEC23B	SEH1L
CSNK2A1	APP
RELA	CYLD
RELA	PLK1
RELA	HSPA1B
RELA	TAF9
RELA	HSD3B1
RELA	EGF
RELA	CAT
RELA	CEBPA
CNMD	CTSL
KPNA1	SQSTM1
KPNA1	SETD1A
KPNA1	SDC4
REC8	HIST2H2AC
RP2	SEH1L
N4BP3	CYP19A1
CRH	INS
CRH	CEBPA
COL8A2	SDC4
RPS2	INS
RPS2	RPL9P8
RPS2	TCF25
RPS2	CYLD
CPSF3	P4HA2
PLK1	HSPA1B
PLK1	TOP3A
PLK1	APP
NUMB	SEH1L
NUMB	SETD1A
H2AFZ	MAPK14
H2AFZ	EZH2
H2AFZ	SETD1A
H2AFZ	CXCL8
NRF1	FAM120C
ITGB1BP2	PON2
ITGB1BP2	PML
ITGB1BP2	CEBPA
HIST2H2AC	SETD1A
HIST2H2AC	CENPP
HIST1H4H	TAF9
HIST1H4H	HIST1H2AK
TUFM	HSPA1B
TUFM	RPL9P8
TUFM	SQSTM1
TUFM	HIST1H2BM
TUFM	CYLD
TUFM	PAN2
IL2RG	LEPR
CLTC	CYLD
CLTC	CLINT1
CLTC	GGA3
PIGX	VDR
ADAMTSL2	MTF1
PSMB6	BIRC2
MAP2K2	MAPK14
MAP2K2	MAPK3
MAP2K2	INS
MAPK3	APP
BIN3	PPARA
HIST2H2BE	TAF1
NEIL2	DNA2
PTH	CXCL8
PTH	SQSTM1
BAHD1	PITX2
VRK2	CCT4
LZTS2	PITX2
LZTS2	SH3KBP1
ZNF350	CDKN1A
APOM	PITX2
NFE2L2	RNF111
NFE2L2	TYR
SOD2	DDB2
CDKN1A	LEPR
AP2A1	EGF
AP2A1	SEH1L
AP2A1	SNRPD2
PTF1A	ZIC1
PTF1A	MAZ
STARD7	INS
PITX2	NOTCH2
MSL2	ZIC1
CD28	TYR
CD28	SLC30A10
CD28	APP
NXF1	MAZ
NXF1	MPDU1
QTRT2	GSN
QTRT2	CTSL
FSTL5	EGR1
IFNA4	IL9R
TYR	INS
CCNB1	HSPA1B
CCNB1	WAPL
ADD1	SEH1L
SDC4	SEH1L
SDC4	SQSTM1
SEH1L	CEBPA
SEH1L	SH3KBP1
TAF9	TAF1
MPP1	GADD45A
SMIM1	CXCL8
SQSTM1	PML
SQSTM1	INS
TOP3A	PML
TOP3A	RIF1
TOP3A	PRKDC
CEBPA	PON2
CEBPA	CA3
PML	DDB2
PML	CAT
PML	EZH2
SH3KBP1	INS
SH3KBP1	BIRC2
SH3KBP1	PON2
SARAF	IL9R
ARCN1	COG7
ARCN1	INS
GSN	PON2
GSN	SLC30A10
MAPK14	GFER
MAPK14	CXCL8
CHRFAM7A	APP
INS	COG1
INS	BRIX1
INS	VDR
GFER	PXDNL
HSD3B1	KCNJ3
HSD3B1	CXCL8
PPARA	SLC30A10
WAPL	XRN1
GCLM	CXCL8
GCLM	EPB41L3
SNRPD2	PAN2
NOP53	LDHD
EGF	HSPA1B
HTR3D	KCNJ3
NACA	SETD1A
EGR1	EZH2
SLITRK5	APP
HSPA1A	VDR
HSPA1A	PAN2
HSPA1A	PRKDC
HSPA1A	SETD1A
SETD1A	HIST1H2BM
HIST1H2BM	SMC1B
HIST1H2BM	TAF1
SLC30A10	CXCL8
MTF1	PRKDC
CXCL8	CYP19A1
TAF1	SSSCA1
TAF1	MAZ
IGF2	MAZ
SLC4A10	MAZ
PAX8	HSPA1B
VDR	CYP19A1
RPUSD3	SSSCA1
EZH2	DDB2
