#tail	head
GLRA2	TMEM206
ARRB1	PLEKHA1
ARRB1	CLCN6
ARRB1	HIST1H4E
ARRB1	ADRB2
ARRB1	SRC
ARRB1	CD3D
ARRB1	NOG
ARRB1	HIST2H2AB
MORF4L1	HIST2H2AA4
MORF4L1	HIST1H4H
MORF4L1	ZIC2
MORF4L1	CEP57L1
TEX44	TMEM14B
TEX44	SYPL1
HIST2H2AA4	POLR2L
HIST2H2AA4	HIST1H3J
HIST2H2AA4	HIST1H4E
HIST2H2AA4	HIST2H2BE
HIST2H2AA4	SMARCA5
CCNG1	PPP2R5E
CCNG1	PPP2R5D
WDR5	UNC45A
WDR5	POLR2L
WDR5	HIST1H4E
WDR5	ANKRD11
WDR5	HIST1H4H
WDR5	TP53BP1
WDR5	SMARCA5
PROP1	PSMB4
PPIL1	TXNL4A
PPIL1	PPM1G
PPIL1	HIST1H3J
PPIL1	POLR2L
NOG	PPP2R5E
NOG	ABHD11
NOG	CDH1
NOG	CEP19
NOG	HIST1H3J
NOG	PLEKHA1
NOG	PPARA
NOG	ZSCAN18
NOG	RREB1
NOG	ANKRD11
NOG	CD3D
NOG	HIST2H2BE
NOG	TMEM242
NOG	SRC
HIST1H4E	RIF1
HIST1H4E	TP53BP1
HIST1H4E	CDH1
HIST1H4E	PTGDS
HIST1H4E	PPARA
HIST1H4E	HIST2H2BE
HIST1H4E	PPM1G
HIST1H4E	SMARCA5
ADRB2	SRC
ADRB2	MFSD2A
ADRB2	GNAI3
ADRB2	PLEKHA1
PPP2R5D	PPP2R5E
PPP2R5D	NDE1
HIST1H4H	PPM1G
HIST1H4H	HIST2H2AB
HIST1H4H	SMARCA5
HIST1H4H	RIF1
HIST1H4H	SRC
HIST1H4H	POLR2L
HIST1H4H	PXN
HIST1H4H	HIST2H2BE
HIST1H4H	ACTN2
HIST1H4H	HIST1H3J
HIST1H4H	RUVBL1
HIST1H4H	PPARA
BAG6	E2F1
RUVBL1	XAB2
RUVBL1	HIST2H2BE
SDCBP	SRC
SDCBP	SYPL1
SDCBP	ZNF148
TXNL4A	U2AF1L4
TXNL4A	PPM1G
TXNL4A	POLR2L
TXNL4A	XAB2
TP53BP1	HIST1H3J
TP53BP1	PCNT
TP53BP1	E2F1
TP53BP1	ZIC2
SPTBN2	SRC
SPTBN2	PPARA
U2AF1L4	POLR2L
U2AF1L4	XAB2
XAB2	PPM1G
GRIN2C	MFSD2A
MAP4	ZIC2
MAP4	HIST2H2AB
MAP4	SRC
PXN	PTK2B
PXN	CDH1
PXN	GNAI3
PXN	ACTN2
ANKRD11	SRC
ANKRD11	ANKRD33
ZIC2	UNC45A
ZIC2	PPP2R5E
E2F1	CDH1
E2F1	HIST2H2BE
E2F1	RAB11B
E2F1	PPP1CC
GNAI3	SRC
GNAI3	PTK2B
GNAI3	RAB11B
RREB1	RAB11B
RREB1	ZNF174
RREB1	SYNPO2L
TMEM242	HSD17B11
CEP89	PCNT
CEP89	CEP97
CEP89	NDE1
CEP89	UNC45A
RIF1	PPP1CC
TVP23B	CEP19
TVP23B	HSD17B11
PTGDS	PPARA
PPP1CC	NDE1
PPP1CC	PPP2R5E
POLR2L	HIST1H3J
POLR2L	SRC
POLR2L	SMARCA5
HIST2H2BE	ACTN2
HIST2H2BE	HIST1H3J
CD3D	PTK2B
CEP19	UNC45A
NDE1	SRC
NDE1	CEP97
NDE1	PPP2R5E
NDE1	PCNT
PCNT	CEP97
PPM1G	HIST1H3J
PTK2B	ILK
PTK2B	ACTN2
PTK2B	SRC
UNC45A	SRC
UNC45A	ILK
PPARA	SMARCA5
PPARA	SYNPO2L
PPARA	CDH1
SRC	CDH1
SRC	ACTN2
ACTN2	ILK
ILK	CDH1
ZSCAN18	ZNF174
HIST2H2AB	HIST1H3J
HIST2H2AB	SMARCA5
CDH1	HIST1H3J
