#tail	head
APOB	GCG
CFB	KRT5
CFB	THRAP3
CFB	NCOA3
CFB	KCNMA1
H2AFY	HIST1H3G
H2AFY	HIST3H3
H2AFY	HIST1H3H
HNF1A	PNMA1
HNF1A	NRF1
HNF1A	UCHL5
HNF1A	DBF4
FBXL4	KDM4A
FBXL4	UBE2Z
UBE2V1	KLHL13
UBE2V1	UBE2D2
SYAP1	CDH1
MAF	RPS6KA3
KRT36	KRT5
KRT36	KRT73
IGKV1-39	FGFR1OP2
COP1	COMMD8
ICMT	NRF1
KLHL13	KLHL9
KLHL13	UBE2D2
NRF1	RNF216
NRF1	MCM4
RNF216	TLR3
ARL13B	PMP22
GCG	FZD5
GCG	EP300
MED11	THRAP3
MED11	EP300
SMIM3	PNMA1
EP300	CDH1
EP300	LEP
EP300	GADD45A
EP300	PIN1
EP300	MCM4
EP300	THRAP3
EP300	NR1I2
ZCCHC12	PNMA1
ZCCHC12	SMN1
HIST1H3G	CDH1
HIST1H3G	MCM4
HIST1H3G	ACTG1
HIST1H3G	NCOA3
HIST1H3H	RPS6KA3
HIST1H3H	MCM4
HIST1H3H	HNRNPU
HIST1H3H	CDH1
HIST1H3H	NCAPG2
UBE2Z	KLHL9
UBE2Z	WSB1
KLC1	SYNE4
AVL9	PARD6B
KRT5	NCOA3
KRT5	SLA2
KRT5	LEP
KRT5	APOC2
COMMD8	WSB1
PNMA1	PARD6B
CYFIP2	FGFR1OP2
CYFIP2	ACTG1
CYFIP2	FGF7
DDR2	PITX2
HIST3H3	NCOA3
HIST3H3	GADD45A
HIST3H3	SMC2
HIST3H3	MCM4
HIST3H3	HNRNPU
KRT73	UCHL5
UCHL5	ACTG1
SACS	APOC2
SACS	SLA2
DMBT1	ACTG1
MCM4	HNRNPU
LEP	THRAP3
LEP	NCOA3
THRAP3	SLA2
THRAP3	HNRNPU
THRAP3	SMN1
THRAP3	NCOA3
RPS6KA3	PITX2
NCAPG2	SMC2
NCOA3	SLA2
NCOA3	PITX2
NCOA3	PIN1
HNRNPU	SMN1
HNRNPU	PITX2
HNRNPU	PIN1
SLA2	IL2RA
CDH1	ACTG1
SMN1	ACTG1
