#tail	head
FAM124A	ROCK1
RHO	PRKCA
RHO	CACNA1A
SLC31A2	S100A13
SLC31A2	SNCA
SLC31A2	PRKCA
SLC31A2	C5
C5	LGALS3
C5	TRPV1
C5	GAST
LGALS3	PRKCA
CACNA1A	PRKCA
ARHGEF10	RHOA
ARHGEF10	RHOF
GPBAR1	GAST
GPBAR1	S100A13
GPBAR1	TRPV1
RHOA	PPP1CB
RHOA	HSP90AA1
RHOA	DOCK5
RHOA	PRKCA
RHOA	GDI2
RHOA	PON2
OAT	RPN1
OAT	SEC23B
PRKCE	SNCA
PRKCE	HSP90AA1
PRKCE	GAST
RPN1	GDI2
RPN1	SEC23B
RPN1	TUBA1C
RPN1	HSP90AA1
RPN1	FLOT2
RPN1	PON2
SEC23B	PPP1CB
SEC23B	HSP90AA1
SEC23B	SIRT7
SEC23B	GDI2
VAV1	RHOF
VAV1	INPP5A
VAV1	HSP90AA1
VAV1	PRKCA
ROCK1	HSP90AA1
RHOF	GDI2
PRKCA	NQO1
PRKCA	HSP90AA1
PPP1CB	SIRT7
RPA1	RAB13
RPA1	MCM7
S100A13	TRPV1
GDI2	SIRT7
GDI2	RAB13
SIRT7	DDX51
SIRT7	NF1
HSP90AA1	FLOT2
HSP90AA1	MCM7
HSP90AA1	SNCA
HSP90AA1	PON2
GAST	TRPV1
GAST	PON2
NQO1	SNCA
DDX51	MCM7
