#tail	head
ZMYM6	NRF1
CDCA8	PPP2R5A
CDCA8	B9D2
CDCA8	PPP2R1B
CDCA8	DYNC1I1
DNAJC7	FBXW11
DYNC1I1	ESPL1
DYNC1I1	B9D2
DYNC1I1	PPP2R1B
CSNK1D	B9D2
CSNK1D	RPS4Y1
CSNK1D	TCTN1
CSNK1D	SETD1A
CSNK1D	FBXW11
CSNK1D	RPGRIP1L
TCTN1	RPGRIP1L
PPP2R1B	PPP2R5A
PPP2R1B	FBXW11
PPP2R1B	B9D2
PPP2R1B	SRC
CMPK1	GYG2
CMPK1	GNAI3
NRF1	ZSCAN29
NRF1	B9D2
XRCC6	SDC4
XRCC6	SRC
XRCC6	SMN2
XRCC6	RINT1
XRCC6	SETD1A
RPL36AL	GSPT1
RPL36AL	RPS4Y1
NONO	GYG2
NONO	SMN2
NONO	SRC
GRAP2	CRB1
GRAP2	SRC
GRAP2	TRAF6
RPS4Y1	UPF1
RPS4Y1	GSPT1
SMN2	SRC
SMN2	SETD1A
SMN2	FBL
SMN2	KIAA1211
ESPL1	PPP2R5A
PPP2R5A	SRC
PPP2R5A	B9D2
TRAF6	GNAI3
TRAF6	SRC
TRAF6	TNF
SDC4	KIAA1211
SDC4	SETD1A
SDC4	GNAI3
SDC4	SRC
B9D2	RPGRIP1L
UPF1	FBL
UPF1	FBXW11
DDX47	RPGRIP1L
CRB1	ZNF232
GNAI3	SETD1A
RPGRIP1L	ZSCAN29
KIAA1211	SRC
GSPT1	TNF
