#tail	head
SRD5A3	AKR1D1
NCBP1	METTL3
NCBP1	RPL18
NCBP1	SMN2
NCBP1	LSM10
NCBP1	SNRPD3
NCBP1	ICE2
UBQLN1	FOXO4
UBQLN1	CTAG1A
UBQLN1	AGR3
UBQLN1	PIK3IP1
UBQLN1	UBQLN2
AKR1D1	F2RL3
CHCHD7	TLX2
CHCHD7	FOXO4
CHCHD7	FOXO1
CCND2	SNRPD3
CCND2	RBL1
MRPL20	TRMT61B
MRPL20	RPL18
EFHC2	STK16
EFHC2	FOXO4
BCL7C	SMARCB1
BCL7C	TIMM13
FOXO4	BMP5
FOXO4	MAF
FOXO4	IGFBP1
FOXO4	PIK3IP1
FOXO4	FOXO1
TIMM13	TRMT61B
TIMM13	SMARCB1
SMARCB1	RBL1
SMN2	CTAG1A
SMN2	SNRPD3
SMN2	KHSRP
SMN2	LSM10
F2RL3	FOXO1
F2RL3	IGFBP1
SNRPD3	RBL1
SNRPD3	METTL3
SNRPD3	LSM10
SNRPD3	VCAM1
RPL18	VCAM1
BMP5	TLX2
BMP5	MAF
KHSRP	VCAM1
KHSRP	METTL3
ICE2	MPO
MAF	MPO
MAF	VCAM1
CTAG1A	UBQLN2
UBQLN2	AGR3
UBQLN2	PIK3IP1
PIK3IP1	FOXO1
MPO	IGFBP1
FOXO1	IGFBP1
