#tail	head
MAP1LC3C	FYCO1
CBWD1	TRMT6
CBWD1	DKKL1
FAM126A	SLBP
IFT81	IFT80
IFT81	DYNLL2
IFT81	OFD1
TNXB	ITGA7
TNXB	TLN1
TNXB	NCAN
TNXB	SDC3
TUBB2A	DYNLL2
TUBB2A	SDC3
DYNLL2	OFD1
DYNLL2	IFT80
FYCO1	OFD1
FYCO1	RPA3
EIF4ENIF1	SLBP
EIF4ENIF1	OFD1
TRMT6	H3F3B
PAPOLA	PPIL6
PAPOLA	HNRNPA0
TLN1	NCAN
TLN1	SDC3
TLN1	ITGA7
H3F3B	HIST1H1A
H3F3B	XRCC5
H3F3B	RBL1
H3F3B	RPA3
SDC3	ITGA7
SDC3	NCAN
ITGA7	DKKL1
ITGA7	NCAN
RPA3	XRCC5
RPA3	HNRNPA0
XRCC5	SLBP
XRCC5	RBL1
XRCC5	HIST1H1A
HIST1H1A	RBL1
PPIL6	HNRNPA0
HNRNPA0	SLBP
