#tail	head
PCLO	ERC2
HMOX1	APP
HMOX1	PRKCD
HMOX1	KIT
DHRS3	IL4R
DHRS3	MECOM
ARHGEF7	LEF1
ARHGEF7	EPHB1
ARHGEF7	SH3KBP1
MECOM	LEF1
MECOM	S100A16
LEF1	GTF2A2
LEF1	SLC13A5
LEF1	FOXA2
LEF1	TCOF1
LEF1	APP
LEF1	VIP
PCK1	LEPR
PCK1	APP
PCK1	FOXA2
PCK1	PTPN21
PCK1	VIP
CPNE6	APP
CPNE6	APOA1
CPNE6	MAFG
SERPINB13	GDF5
SERPINB13	TTC4
PRKCD	SH3KBP1
PRKCD	APP
PRKCD	RPS6KB2
ACO1	MAFG
ACO1	APP
ACO1	SLC13A5
LEPR	AVP
LEPR	APOA1
KRT10	RPS6KB2
KRT10	APOA1
ERC2	APP
RPS6KB2	GDF5
EPHB1	FOXA2
EPHB1	PTPN21
AVP	SH3KBP1
AVP	VIP
AVP	FZD5
AVP	APP
TCOF1	SH3KBP1
TCOF1	S100A16
TCOF1	APP
TCOF1	TTC4
CHD4	GTF2A2
CHD4	TRIM28
VIP	FZD5
MAFG	APP
APOA1	APP
S100A16	APP
S100A16	UBAC2
SH3KBP1	KIT
SH3KBP1	TRIM28
GDF5	FZD5
FOXA2	GTF2A2
GTF2A2	TRIM28
KIT	PTPN21
