#tail	head
EPRS	SEPT7
APOB	SLC2A2
APOB	YIPF2
APOB	SLC22A1
ALDH1B1	ADH5
ECHS1	UBA1
ECHS1	RAB11FIP5
GNAI2	GNG7
GNAI2	CNGB1
GNAI2	GNB2
GNAI2	PAX4
GPR37L1	GNG12
NKAIN2	ATP6V1A
HIST1H4I	ASF1B
HIST1H4I	CENPE
GCNT4	GXYLT1
FGF18	GNGT1
FGF18	IGKV3-20
AARSD1	TAT
CENPE	CEP131
CENPE	HLA-DPA1
XCR1	GNG7
XCR1	GNG12
PNRC2	FGF9
S100A7	KCNIP2
S100A7	CD22
ECSIT	DHX15
ERCC3	XRCC1
RBL2	PDCD4
OTUB1	ATP6V1A
OTUB1	MAZ
OTUB1	DDX23
HNRNPH2	DHX15
SMU1	SNRPD2
IMPA2	GAPDHS
TUBA8	OGDH
SCAP	RNF139
SGTB	GPX7
PAX6	ELF2
FZD2	MAPK3
TOMM40	COX5B
FGFR2	FGF9
AKR1B1	EHHADH
AKR1B1	SRD5A3
IGLV6-57	PTPN6
POLDIP2	SSR1
SLC8A3	FXYD6
GALNS	PLAUR
ITGB8	LAMA3
ANLN	FLNA
FOXS1	PPP2R1B
HIST2H3A	GP1BA
HIST2H3A	TADA2A
NLGN3	QARS
TRIM25	GPX4
TRIM25	SP100
TRIM25	NCL
TRIM25	ASS1
TRIM25	PNPLA2
TRIM25	ST3GAL2
TRIM25	SLC25A4
TRIM25	MAX
ALAS2	ACSBG2
USO1	MAPK3
RPS6KA1	MAPK3
CUL4B	RAD23B
CUL4B	RPLP1
ALB	AMPD3
SEPT7	ESR2
U2AF2	NXF2
U2AF2	ILF3
U2AF2	GBP2
HIF1AN	TLN2
IGKV3-20	GNG2
PRL	IGFBP2
PRL	NOG
PRL	AKR1C1
PRL	TUBB2A
MT-ND3	NDUFS7
PPAT	PDE2A
PPAT	ASS1
HMOX1	ARNTL
HMOX1	TAF1
HMOX1	AREG
FLOT2	CTNNB1
FLOT2	SVIL
FLOT2	GNG12
SLTM	GGPS1
ASB4	UBE2D2
ASB4	TUBB2A
SLC7A1	CNDP2
SRP9	RPL13A
SMAD7	SMAD3
SMAD7	ENG
ALDOA	PCNA
ALDOA	SRC
ALDOA	SORBS1
ALDOA	PRPF8
HNRNPR	ITGAL
HNRNPR	SNW1
HNRNPR	TXNL4A
TYROBP	KIR2DS4
NNT	PECR
BAG3	C1QTNF7
BAG3	PRKDC
BAG3	WIPI2
BCAT1	SLC1A2
PLK4	CEP85
NOG	RAB11FIP3
NOG	MAP1LC3C
NOG	MSX1
NOG	CHMP3
NOG	ADM
NOG	ASS1
NOG	ECI2
