#tail	head
MAP1LC3C	CHMP2B
FGF4	IL1RAP
FGF4	GNG2
FGF4	GNB1
FGF4	ITK
FGF4	GNG3
GALR1	GNG2
EPO	IL1RAP
EPO	IL5
EPO	SLC39A8
EPO	GNB1
EPO	CAV1
XPO1	PAF1
XPO1	ABL1
XPO1	GNB1
MAP4K5	NR3C1
CAV1	NR3C1
CAV1	THPO
CAV1	IL5
CAV1	ABL1
CAV1	AGT
CAV1	ITK
GTF3A	NR3C1
GTF3A	CHMP5
ITK	PIK3CB
ITK	GNG3
ITK	GNG2
ITK	SH2D2A
ELP6	NELFB
YWHAG	SAMD4B
YWHAG	ABL1
YWHAG	PIH1D1
YWHAG	ZFP36
GNB1	SH2D2A
GNB1	GNG3
GNB1	GNG2
AGT	GNG3
AGT	IL5
AGT	SLC39A8
AGT	AOC3
AGT	NR3C1
ABL1	GAB3
ABL1	LRRC59
IL5	AOC3
IL5	NR3C1
IL5	PIK3CB
IL5	IL1RAP
IL5	THPO
GTF2H3	NELFB
PIH1D1	ELP1
NR3C1	SLC39A8
THPO	IL1RAP
SLC39A8	ZFP36
PIK3CB	SH2D2A
PIK3CB	GNG3
PIK3CB	GNG2
PIK3CB	GAB3
PAF1	NELFB
GNG3	SH2D2A
GNG3	UTS2R
GNG3	IL1RAP
GNG2	UTS2R
