#tail	head
HERC3	UBE2B
HBEGF	ETS2
HBEGF	FGFR1
HBEGF	FGF9
HBEGF	JUN
HBEGF	ALB
HBEGF	GNB5
HBEGF	BLNK
HBEGF	DAB2
HBEGF	IL6
STAT5A	DUSP9
STAT5A	C1QTNF6
STAT5A	KDM6A
STAT5A	HIST2H2AC
STAT5A	CBL
PYGB	PTPN9
PYGB	DUSP9
RUNX1	JUN
RUNX1	RAMP2
RUNX1	C1QTNF6
RUNX1	B3GNT5
RUNX1	DAB2
GNB5	BLNK
GNB5	RAMP2
PTK2B	CBL
UBE2B	ABCB1
UBE2B	HERC6
UBE2B	LTN1
NRXN2	HOMER1
NRXN2	ABCB1
NRXN2	JUN
DAB2	JUN
DAB2	PIP4K2A
KDM6A	HIST2H2AC
KDM6A	JUN
IL6	JUN
IL6	ALB
IL6	HIST2H2AC
IL6	CBL
IL6	ABCB1
IL6	FGF9
B3GNT5	B4GALT4
PIP4K2A	CBL
PIP4K2A	BLNK
PIP4K2A	IGKV3-11
C1QTNF6	ETS2
PTPN9	FGFR1
ASB18	UBE2O
FGFR1	IGKV3-11
FGFR1	DUSP9
FGFR1	JUN
FGFR1	FGF9
RAMP2	ETS2
ETS2	JUN
CBL	GAPVD1
CBL	FGF9
CBL	ABCB1
GAPVD1	DNM3
IGKV3-11	FGF9
DUSP9	JUN
HIST2H2AC	JUN
FGF9	BLNK
