#tail	head
CX3CR1	CCL21
CCL21	CTSD
HNRNPM	STON2
HNRNPM	EBNA1BP2
HNRNPM	RPLP2
HNRNPM	RPS23
HNRNPM	HSPA8
ROPN1L	RSPH3
ROPN1L	SPA17
SUCLG2	CTSD
SUCLG2	PHYH
RPLP2	EBNA1BP2
RPLP2	RPS23
PRKACB	AP2M1
PRKACB	AKAP14
PRKACB	HNF4A
WDR3	FCF1
WDR3	EXOSC9
WDR3	RPS23
WDR3	UTP15
WDR3	RRP36
FCF1	EXOSC9
FCF1	RPS23
FCF1	UTP15
FCF1	HNF4A
FCF1	RRP36
EXOSC9	RRP36
EXOSC9	KHSRP
EXOSC9	UTP15
RPS23	UTP15
RPS23	EBNA1BP2
RPS23	RRP36
AP2M1	STON2
AP2M1	HNF4A
AP2M1	HSPA8
RSPH3	HNF4A
PHYH	PEX13
HSPA8	STON2
HSPA8	EBNA1BP2
UTP15	RRP36
STON2	KHSRP
SPA17	AKAP14
HNF4A	PEX13
