#tail	head
CCL3L1	GNA15
LEF1	GAB2
LEF1	NFATC3
LEF1	EN1
LEF1	CACNA2D3
LEF1	DCHS1
LEF1	MEIS1
LEF1	NCALD
EN1	ERBB4
GNA14	CYSLTR1
GNA14	CXCR3
GNA15	AGT
GNA15	MLF2
GNA15	CACNA2D3
GNA15	CXCR3
GNA15	CYSLTR1
ERBB4	DCHS1
ERBB4	GAB2
ERBB4	ERBB2
GATA3	CDC42EP2
VPS52	HNF4A
VPS52	FAM50B
CDC42EP2	HNF4A
LAT	GAB2
AGT	CYSLTR1
AGT	HNF4A
AGT	ETS2
CXCR3	CACNA2D3
CXCR3	NFATC3
CXCR3	ETS2
PPIAL4G	ACTB
FAM50B	HNF4A
DCHS1	ERBB2
DMD	CACNA2D3
DMD	HNF4A
DMD	CACNA1C
HOXB8	PDX1
HOXB8	MEIS1
ARHGEF12	ERBB2
CACNA2D3	CYSLTR1
CACNA2D3	HNF4A
CACNA2D3	CACNA1S
MYBPC1	CACNA1S
MYBPC1	NCALD
PDX1	SLC9A9
GAB2	ERBB2
GAB2	ETS2
GAB2	MEIS1
SLC9A9	MEIS1
SLC9A9	ETS2
ERBB2	ACTB
ERBB2	RASA4B
ETS2	NCALD
CACNA1S	MEIS1
CACNA1S	NFATC3
CACNA1S	CACNA1C
CACNA1C	NCALD
CACNA1C	NFATC3
CACNA1C	CATSPER3
NCALD	NFATC3
ACTB	HNF4A
NFATC3	CATSPER3
