#tail	head
POM121	NUP153
SUN2	TJP1
CLK2	FAAP24
CLIP1	PPP2R5C
CLIP1	TUBA4A
CLIP1	AURKB
CLIP1	CENPF
AURKB	CDC14A
AURKB	PKM
AURKB	SMC4
AURKB	PPP2R1B
AURKB	HIST2H2AA4
AURKB	RACGAP1
PRPF31	BUD13
PRPF31	PRPF8
PRPF31	RBM15
PRPF31	CACTIN
PRPF31	DDX39B
SYCP2	ATR
THOC6	CHTOP
THOC6	RBM15
THOC6	CACTIN
THOC6	BUD13
H2BFS	SMC4
H2BFS	ATR
DDX39B	PRPF8
DDX39B	CACTIN
DDX39B	SNRPD2
DDX39B	CHTOP
DDX39B	THOC5
RACGAP1	SNRPD2
RACGAP1	TUBA4A
ASNS	PKM
ASNS	AK7
PPP2R1B	CENPF
PRPF8	TUBA4A
PRPF8	BUD13
PRPF8	PKM
PRPF8	SMC4
PRPF8	SNRPD2
PRPF8	CACTIN
CACTIN	THOC5
CACTIN	BUD13
CDC14A	TJP1
THOC5	BUD13
THOC5	TJP1
THOC5	SNRPD2
THOC5	CHTOP
THOC5	RBM15
SNRPD2	BUD13
SNRPD2	RBM15
RBM15	BUD13
TUBA4A	PKM
TUBA4A	TUBB
FAAP24	ATR
NUP153	HSPA12B
NUP153	CENPF
SMC4	HIST2H2AA4
CHTOP	ZNF585A
TUBB	PKM
UGP2	PPP2R5C
CENPF	PPP2R5C
