#tail	head
FKBP2	VDR
GALNT9	MUC13
GALNT9	MUC5B
GALNT9	MUC5AC
SLC38A1	DLG3
SLC38A1	TUBA4B
SLC38A1	GRIN1
TUBA4B	CCT4
BCAS2	SF3B2
BCAS2	PRPF4
BCAS2	SNRPC
BCAS2	FBXW7
BCAS2	CWC22
BCAS2	LSM7
BCAS2	SMU1
SF3B2	SNRPC
SF3B2	PRPF4
SF3B2	FBXO6
SF3B2	CWC22
SF3B2	SMU1
SF3B2	LSM7
DENND4A	SH3PXD2A
DENND4A	GIGYF1
DENND4A	TIMP3
FBXW7	PSMC5
FBXW7	SMU1
FBXW7	CCT4
FBXW7	MMS22L
FBXW7	GALNT12
SMU1	CWC22
SMU1	PRPF4
SMU1	SNRPC
SMU1	LSM7
MUC5B	B3GNT4
MUC5B	GALNT12
PRPF4	SNRPC
PRPF4	CWC22
PRPF4	LSM7
PRPF4	CCT4
SNRPC	LSM7
SNRPC	GIGYF1
SNRPC	CWC22
GALNT12	MUC5AC
GALNT12	MUC13
DLG3	GRIN1
FBXO6	CCT4
FBXO6	PSMC5
FBXO6	ACAT1
VDR	PRL
VDR	HMGCR
VDR	PSMC5
VDR	TIMP3
B3GNT4	MUC13
B3GNT4	MUC5AC
GRIN1	PRKCG
CACNA1E	PRKCG
CACNA1E	PRL
CWC22	LSM7
GIGYF1	SH3PXD2A
ACAT1	HMGCR
TIMP3	MUC5AC
PSMC5	PRL
