#tail	head
PLXNA1	CCDC7
HNRNPM	MOV10
HNRNPM	EED
SPHK1	HIST1H4I
SPHK1	LCK
CCDC7	ITGA6
F2RL1	MOV10
CAV1	GRB7
CAV1	BCAN
CAV1	ITGAV
CAV1	LAMB1
CAV1	CXCL8
CAV1	MOV10
CAV1	ITGA6
ITGA6	ITGAV
ITGA6	COL1A1
ITGA6	LCK
ITGA6	COL14A1
ITGA6	ELN
ITGA6	BCAN
HIST1H4I	NLGN1
HIST1H4I	RNF4
HIST1H4I	DNMT1
HIST1H4I	CXCL8
HIST1H4I	EED
HIST1H4I	HDAC1
HIST1H4I	TMPO
RNF4	ITGAV
RNF4	TMPO
DNMT1	TGFB1
DNMT1	HDAC1
CXCL8	NLGN1
CXCL8	LCK
CXCL8	ITGAV
CXCL8	TGFB1
MOV10	GID8
MOV10	HTATSF1
NSUN2	LCN2
GRB7	LCK
ITGAV	HDAC1
ITGAV	TGFB1
ITGAV	COL14A1
TMPO	EED
TMPO	HAND1
MMP1	TGFB1
DEFA1	LAMB1
DEFA1	COL1A1
DEFA1	COL14A1
BCAN	ELN
PRKCZ	COL14A1
PRKCZ	GID8
PRKCZ	TGFB1
LCN2	URM1
LAMB1	COL1A1
LAMB1	COL14A1
LAMB1	TGFB1
HTATSF1	ZNF207
RANGAP1	TGFB1
ELN	LCK
ELN	COL1A1
TGFB1	COL1A1
COL1A1	LCK
