#tail	head
XBP1	GSTO1
TXNDC5	RNF157
TXNDC5	GNAI3
RNF157	EMD
CCR2	GNG4
CCR2	GNB3
CCR2	GNAI3
CCR2	SVOP
SBDS	CLN3
SBDS	PAFAH1B1
GNB3	TAS2R16
GNB3	GNG4
GNB3	GNAI3
GNB3	CXCL5
GNB3	CYSLTR1
GNB3	FXYD2
GNB3	GABBR1
GNB3	FXYD6
FXYD6	GNG4
FXYD6	KCNK15
FXYD6	GABBR1
FXYD6	SVOP
GSTO1	TAGLN3
GABBR1	GNAI3
GABBR1	CYSLTR1
GABBR1	GNG4
GABBR1	FXYD2
GABBR1	PAFAH1B1
TAGLN3	MTAP
CLN3	EMD
PAFAH1B1	CXCL5
FXYD2	KCNK15
FXYD2	MTAP
FXYD2	GNG4
GNAI3	GNG4
GNAI3	TAS2R16
GNAI3	CXCL5
TAS2R16	GNG4
GNG4	CXCL5
GNG4	CYSLTR1
CXCL5	CYSLTR1
