#tail	head
ZNF202	CARD10
CEBPB	CEBPA
CEBPB	ITPR3
CEBPB	INS
MYL4	TMOD1
MYL4	CFH
MYL4	TMEM115
MYL4	ITPR3
NFAT5	INS
NFAT5	CEBPA
SPTAN1	JUP
SPTAN1	UACA
SPTAN1	SNRNP70
SPTAN1	PRKCB
SPTAN1	CEBPA
SPTAN1	INS
SPTAN1	TMOD1
SPTAN1	GNA13
SPTAN1	TMEM115
SPTAN1	SPINT1
UACA	SNRNP70
UACA	SPINT1
SLC47A2	CFH
SLC47A2	INS
SLC47A2	JUP
TMEM115	CFH
TMEM115	INS
SPINT1	SNRNP70
SPINT1	CEBPA
SPINT1	JUP
SPINT1	GNA13
SPINT1	TMOD1
ADRA1D	INS
ADRA1D	GNA13
CARD10	INS
ITPR3	INS
ITPR3	PRKCB
ITPR3	TMOD1
CEBPA	SNRNP70
CEBPA	INS
SNRNP70	TMOD1
SNRNP70	GNA13
SNRNP70	JUP
PRKCB	INS
PRKCB	GNA13
JUP	INS
GNA13	INS
