#tail	head
BTBD1	GPS1
ESR2	VDAC3
ESR2	HNRNPH2
ESR2	KLRK1
ESR2	TADA3
ESR2	IGHV3-7
ESR2	CALM1
ESR2	WASF2
ESR2	DUSP5
ESR2	IGHD
ESR2	KLRC2
VDAC3	CALM1
VDAC3	HIRIP3
HIST2H2BE	HIRIP3
HIST2H2BE	GABARAPL2
RBM34	RPL8
GABARAPL2	RPL8
GABARAPL2	EGFR
GRIK4	EGFR
GRIK4	CALM1
ISG20L2	PPAN
ERBB3	HNRNPH2
ERBB3	IGHD
ERBB3	PTPRE
ERBB3	LGALS3BP
ERBB3	IGHV3-7
ERBB3	WASF2
ERBB3	TEC
ERBB3	EGFR
UBE2K	FBXO41
TEC	IGHV3-7
TEC	KLRC2
TEC	FGFR1
TEC	PTPRE
TEC	DUSP5
KLRK1	FGFR1
KLRK1	IGHD
KLRK1	IGHV3-7
PPAN	ZNF2
CALM1	TNIP2
CALM1	GNG10
CALM1	IGHD
RPL8	HIRIP3
DUSP5	EGFR
IPO7	PTPRE
IPO7	EGFR
IGHV3-7	KLRC2
IGHV3-7	GNG10
IGHV3-7	FGFR1
IGHV3-7	IGHD
TRAPPC10	LGALS3BP
IGHD	FGFR1
GPS1	COMMD5
FGFR1	EGFR
FGFR1	WASF2
FGFR1	PTPRE
FGFR1	KLRC2
EGFR	WASF2
EGFR	GNG10
ASB7	COMMD5
GNG10	WASF2
KLRC2	WASF2
