#tail	head
TSGA10IP	MEIS3
GPATCH2L	LMO3
GPATCH2L	TRIB3
POM121C	GLE1
POM121C	SEH1L
POM121C	MAGOHB
POM121C	NUP160
IDH3B	MMS19
IDH3B	RPGRIP1L
MEF2A	HDAC5
MEF2A	LMO3
MEF2A	ADAM23
CSE1L	CDK2
CSE1L	CTU1
CSE1L	NUP160
CSE1L	HDAC5
CSE1L	MMS19
CSE1L	RNF4
PSMD3	HDAC5
PSMD3	RNF4
PSMD3	CDK2
MEIS3	LMO3
RNF4	PROCR
RNF4	NUP160
RNF4	CDK2
RNF4	GLE1
PARD3	TP53BP2
PARD3	SMURF1
CDK2	MAGOHB
CDK2	STAT6
TP53BP2	RPGRIP1L
MAGOHB	NUP160
MAGOHB	SEH1L
MAGOHB	GLE1
CTU1	NUP160
CTU1	MMS19
SMURF1	TRIB3
NUP160	SEH1L
NUP160	GLE1
GLE1	SEH1L
TRIB3	LMO3
STAT6	ADAM23
PROCR	SEH1L
