#tail	head
ANP32A	SSB
PON2	ALPP
PON2	HSPA5
ALPP	SULT2A1
ALPP	HSPA5
WBP11	TFIP11
WBP11	SNRPD3
WBP11	HNRNPF
WBP11	SF3A3
WBP11	SF3B3
WBP11	SNRPE
WBP11	LUC7L3
SSB	HSPA5
SNRPD3	SF3A3
SNRPD3	SNRPE
SNRPD3	SF3B3
SNRPD3	LUC7L3
SNRPD3	TFIP11
SNRPD3	NUP37
SNRPD3	HNRNPF
SNRPE	NUP37
SNRPE	TFIP11
SNRPE	HNRNPF
SNRPE	SF3B3
SNRPE	LUC7L3
SNRPE	SF3A3
SF3B3	SLCO1B3
SF3B3	LUC7L3
SF3B3	TFIP11
SF3B3	HNRNPF
SF3B3	SF3A3
SF3A3	LUC7L3
SF3A3	HNRNPF
SF3A3	TFIP11
HNRNPF	HSPA5
HNRNPF	TFIP11
SLCO1B3	SULT2A1
TFIP11	LUC7L3
HSPA5	NUP37
