#tail	head
ABHD1	GTF3A
STOM	RANGAP1
STOM	PTPN1
STOM	ATP1B3
CSNK2A1	HNF4A
CSNK2A1	KDM5C
CSNK2A1	OGA
CSNK2A1	TP53
CSNK2A1	PTPN1
CSNK2A1	CDK9
COPZ1	HNF4A
COPZ1	HSPA8
HIST1H3J	MSH2
HIST1H3J	HSPA8
HIST1H3J	NCOA6
HIST1H3J	KIF23
HIST1H3J	EGR2
GTF3A	UNC79
GTF3A	CDK9
GTF3A	NCOA6
CCDC107	ALG8
ADSS	EGR2
FOXO4	EGR2
FOXO4	TP53
FOXO4	ETS2
FOXO4	SLC16A2
FOXO4	NCOA6
FOXO4	ID1
TCF12	GFI1
TCF12	HNF4A
TCF12	ID1
WDR87	HSPA8
SLC6A15	TEX29
SLC6A15	ATP1B3
HSPA8	KIF23
HSPA8	HSPA6
HSPA8	OGA
CDK9	OGA
CDK9	MSH2
CDK9	TP53
CDK9	NELFB
UNC79	ATP1B3
TP53	RANGAP1
TP53	HNF4A
TP53	ID1
TP53	COMT
TP53	FILIP1
TP53	KIF23
TP53	GFI1
TP53	OGA
ID1	ETS2
NCOA6	OGA
NCOA6	HNF4A
NCOA6	COMT
OGA	MSH2
OGA	ATP1B3
OGA	HNF4A
FILIP1	ETS2
ETS2	GFI1
ETS2	KDM5C
COMT	HNF4A
NELFB	MSH2
