#tail	head
GRID2IP	GRID2
ACTA2	GRIA1
ACTA2	CDH13
ACTA2	NOTCH4
ACTA2	KCNMA1
ACTA2	SHC1
ACTA2	SORT1
GRID2	GRIA1
APH1B	NOTCH4
APH1B	SORT1
SEC14L1	KPTN
SEC14L1	CDH13
CSTF2	TTC29
CSTF2	SNRPN
CSTF2	SRSF5
CSTF2	PCF11
KCNMA1	KRT10
KCNMA1	PPARA
KCNMA1	SLC1A5
ARNTL2	PPARA
ARNTL2	METTL3
SNRPN	SRSF5
SNRPN	PCF11
PCF11	SRSF5
PCF11	PDCD4
CAMK2B	IFNG
CAMK2B	GRIA1
CAMK2B	JAK2
JAK2	IFNG
JAK2	ITGA3
JAK2	SHC1
KRT10	METTL3
KRT10	KRT72
KRT10	IFNG
KRT10	ABCB1
KRT10	SLC1A5
KRT10	SHC1
GRIA1	ABCB1
PPARA	ABCB1
PPARA	TTC29
PPARA	KPTN
PPARA	IFNG
KRT72	METTL3
IFNG	GSR
IFNG	PRDX3
IFNG	SORT1
IFNG	ABCB1
GSR	PRDX3
GSR	GSTA4
ITGA3	SHC1
GSTA4	ABCB1
ABCB1	PDCD4
