#tail	head
MAP1LC3C	NBR1
SPTLC2	FAR1
SPTLC2	MAX
SPTLC2	E2F1
SPTLC2	ACSS3
ATF4	ATF1
ATF4	STAT5A
ATF4	MAX
ATF4	E2F1
ATF4	PRR3
NBR1	CALM3
NBR1	E2F1
NBR1	MAX
HIST2H4B	GATA1
HIST2H4B	CALM3
HIST2H4B	ATF1
CALM3	MAX
CALM3	E2F1
CALM3	PLA2G6
AP5B1	KCNRG
AP5B1	ARHGAP25
ATF1	NTRK2
ATF1	MAX
ATF1	SUMO4
SUGP2	LZTR1
SUGP2	MAX
LZTR1	RIT1
LZTR1	MAX
ROBO2	KCNRG
ROBO2	PRKAR2A
PRR3	KIF11
PRR3	E2F1
PRR3	MAX
RIT1	NTRK2
MAX	KIF11
MAX	PLA2G6
MAX	ELOVL6
MAX	E2F1
GATA1	RHOBTB2
GATA1	LRP1
GATA1	E2F1
ELOVL6	PLA2G6
ELOVL6	FAR1
ELOVL6	ACSS3
RHOBTB2	ARHGAP25
RHOBTB2	VAV3
LRP1	STAT5A
LRP1	E2F1
MINDY4	PJA2
MINDY4	KIF11
NTRK2	VAV3
PLA2G6	E2F1
KIF11	E2F1
SUMO4	STAT5A
PJA2	PRKAR2A
ACSS3	FAR1
STAT5A	PRKAR2A
