#tail	head
ACTR10	CENPE
CDC16	TTLL1
CDC16	MYO9A
CDC16	HAUS5
CDC16	ANAPC16
MZT2B	ODF2
MZT2B	PCM1
MZT2B	TUBG2
MZT2B	HAUS3
LEF1	SFXN2
LEF1	RET
LEF1	PAX2
LEF1	DGKH
LEF1	PCM1
LEF1	YWHAQ
TPX2	HAUS3
TPX2	HAUS5
TPX2	CDK11B
CENPE	RET
CENPE	PPP2CB
CENPE	NUP133
MCM2	TUBB4B
MCM2	PGK1
MCM2	YWHAQ
CGB3	NR3C2
CGB3	CYP17A1
TUBG2	HAUS5
TUBG2	PCM1
TUBG2	TUBB4B
TTLL1	ANAPC16
SFRP4	PDGFRL
PGK1	YWHAQ
PCM1	HAUS3
PCM1	ODF2
PCM1	MYO9A
PCM1	CDK11B
PCM1	TUBB4B
PAX2	SFXN2
TUBB4B	ODF2
TUBB4B	HAUS3
TUBB4B	HAUS5
TUBB4B	RPL7
TUBB4B	CDK11B
RPL7	YWHAQ
HAUS5	CDK11B
HAUS5	RET
HAUS5	HAUS3
HAUS5	ODF2
DGKH	IGHV3-33
DGKH	ZIC1
RET	ODF2
RET	HAUS3
RET	YWHAQ
RET	PIK3CD
PIK3CD	LCK
PIK3CD	PDGFRL
PIK3CD	IGHV3-33
ODF2	CDK11B
HAUS3	CDK11B
CDK11B	YWHAQ
YWHAQ	LCK
DOK3	LCK
