#tail	head
SCN11A	GRIN2C
CPD	SH3GL2
CPD	PLGRKT
SS18L1	MED30
SS18L1	ELF5
HAP1	HTT
PLIN1	MED30
PLIN1	CDK19
PLIN1	NCOA1
PLIN1	MED11
PLGRKT	ECH1
PLGRKT	COX6B1
COX6B2	SOD2
COX6B2	SLC2A1
COX6B2	COX6B1
MED30	CDK19
MED30	NCOA1
MED30	MED11
SFXN1	ECH1
SFXN1	LETM1
SFXN1	COX6B1
SFXN1	JUN
GLRX2	ELF5
NRF1	CDK19
NRF1	FADD
NRF1	MED11
NRF1	MFSD8
FADD	PEA15
MFSD8	HLA-DQA1
MED11	NCOA1
MED11	CDK19
EZR	HTT
EZR	EFTUD2
EZR	JUN
NDUFA10	COX6B1
NDUFA10	JUN
SOD2	SLC2A1
SOD2	JUN
SOD2	HTT
SOD2	COX6B1
NRAS	HEMGN
NRAS	JUN
CDK19	NCOA1
GRIN2C	NCOA1
GRIN2C	HTT
HEMGN	ODC1
SH3GL2	SLC2A1
SH3GL2	HLA-DQA1
HTT	ECH1
HTT	COX6B1
SLC2A1	SAT2
SLC2A1	JUN
SLC2A1	ODC1
LETM1	JUN
LETM1	EFTUD2
LETM1	RNF19B
PEA15	JUN
ECH1	JUN
ECH1	EFTUD2
SAT2	ODC1
JUN	NCOA1
JUN	EFTUD2
