#tail	head
FAM71E2	PDZRN4
RAD23B	GTF2H2
RAD23B	TRIM25
RAD23B	PDLIM5
MYL12A	TRDN
MYL12A	RACK1
MYL12A	NCALD
MYL12A	PAXIP1
ITGAL	RAB31
ITGAL	ANXA4
RAB31	NOG
RAB31	ALS2CL
PDZRN4	DMD
PDZRN4	ETV4
PDLIM5	SUZ12
TCF3	ALS2CL
TCF3	DMD
TCF3	HIRA
TCF3	NOG
HIRA	NOG
HIRA	HIST1H4C
HIRA	NASP
HIRA	TRIM25
PAXIP1	FUCA1
PAXIP1	HIST1H4C
PAXIP1	RACK1
ANXA4	NOG
ANXA4	SP1
ANXA4	CLDN4
CREB1	NCALD
CREB1	IL2
CREB1	SUZ12
ALDH1A1	IL2
ALDH1A1	SP1
ALDH1A1	HIST1H4C
NOG	ETV4
NOG	RACK1
NOG	CLDN4
NOG	LRRC8E
NOG	TRIM25
NOG	NR3C2
NOG	NASP
DZIP1	SP1
TRIM25	HIST1H4C
TRIM25	ANXA6
TRIM25	SP1
TRIM25	DMD
TRIM25	ETV4
GTF2H2	XPA
SUZ12	RACK1
SUZ12	HIST1H4C
DMD	TMOD2
DMD	TRDN
DMD	LRRC8E
SP1	PPIG
SP1	NASP
SP1	CLDN4
CLDN4	RACK1
NASP	HIST1H4C
HIST1H4C	RACK1
FUCA1	ETV4
ANXA6	RACK1
