#tail	head
MDFI	MAPK1
NR1D2	NOTCH2NLA
NR1D2	CSNK2A2
SLC7A5	FASN
SLC7A5	ACY3
MAPK1	RORA
MAPK1	GAB1
MAPK1	ARRB1
MAPK1	SRC
MAPK1	PRKCE
ACY3	ARF5
ACY3	NOTCH2NLA
MARK2	PRKCE
MARK2	GAB1
PDGFRA	IGLV3-19
PDGFRA	DUSP22
PDGFRA	SRC
PDGFRA	GAB1
SRC	DUSP22
SRC	GAB1
SRC	IGLV3-19
SRC	ARRB1
SRC	PRKCE
SRC	FASN
SRC	WASL
RORA	ARF5
RORA	AP1G2
COPB2	PRKCE
COPB2	SURF4
COPB2	ARF5
COPB2	GBF1
ARRB1	FASN
ARRB1	WASL
ARRB1	CSNK2A2
SURF4	TCTN3
SURF4	GBF1
SURF4	ARF5
PIGS	NOTCH2NLA
PIGS	TCTN3
PRKCE	GAB1
PRKCE	IGLV3-19
ARF5	DUSP22
ARF5	GBF1
AP1G2	TMX3
DUSP22	TMX3
IGLV3-19	GAB1
WASL	GAB1
TMX3	TCTN3
