#tail	head
CFAP410	SKAP1
FAM83H	BRCA1
FAM83H	GTSE1
SKAP1	PIP5K1A
RPL9P7	BRCA1
RPL9P7	RPS14
VHL	NOB1
VHL	PRKCZ
VHL	AVP
VHL	RPS14
VHL	LTV1
SERPING1	CNOT1
SERPING1	PCED1B
SERPING1	IGHV3-53
SERPING1	GSN
BRCA1	CNOT1
BRCA1	GSN
BRCA1	RPS14
BRCA1	AHCY
LTV1	NOB1
LTV1	RPS14
AHCYL1	PRKCZ
AHCYL1	AHCY
AHCYL1	PIP4K2A
NECAP1	AHCY
NECAP1	INPP4B
NECAP1	PIP4K2A
NECAP1	PIP5K1A
NECAP1	AVP
NECAP1	GTSE1
AVP	PIP5K1A
AVP	PIP4K2A
AVP	ADORA2A
AVP	INPP4B
NOB1	RPS14
PIP5K1A	PIP4K2A
PIP5K1A	IL33
PIP5K1A	GSN
PIP5K1A	INPP4B
PIP5K1A	IGHV3-53
PIP4K2A	IL33
PIP4K2A	IGHV3-53
PIP4K2A	INPP4B
AHCY	ADORA2A
AHCY	GSN
PCED1B	CNOT1
PCED1B	GSN
PRKCZ	GSN
IGHV3-53	IL33
CNOT1	GSN
