#tail	head
FAM71E2	RANBP2
MAZ	HOXA4
MAZ	E2F4
MAZ	CAVIN1
MAZ	SP1
WNT5B	SFRP5
WNT5B	PORCN
RANBP2	KRT10
RANBP2	SNW1
RANBP2	ZNF292
RANBP2	CFTR
RANBP2	SMN1
LTF	ESR1
LTF	SP1
BMP2K	LIMS1
BMP2K	SGF29
BMP2K	SRRM2
SNW1	TFG
SNW1	MAP7D2
SNW1	ESR1
SNW1	SRRM2
SNW1	SMN1
SNW1	NAP1L1
SNW1	PTBP1
KRT10	ESR1
E2F4	CDCA3
E2F4	LIMS1
CASP3	IL1B
CASP3	CFTR
CASP3	SP1
CASP3	ESR1
CASP3	MAPK9
CASP3	PTBP1
TFG	CFTR
HOXA4	MAP7D2
HOXA4	SP1
HOXA4	FEZF2
HOXA4	MYF5
PORCN	SP1
HRNR	IL1B
HRNR	HTN3
SP1	HTN3
SP1	CEBPD
SP1	CDCA3
SP1	ESR1
SGF29	MAP7D2
SGF29	SRRM2
HTN3	CFTR
SMN1	NUFIP2
SMN1	SMTN
SMN1	NAP1L1
SMN1	PTBP1
SRRM2	ESR1
SRRM2	PTBP1
IL1B	CFTR
IL1B	MAPK9
ESR1	LIMS1
ESR1	NUFIP2
NUFIP2	SMTN
PTBP1	SMTN
CFTR	NAP1L1
SMTN	MAP7D2
