#tail	head
CHCHD5	CHCHD4
KIF2C	BMP1
KIF2C	SGO2
MAZ	RBPMS
MAZ	ILF3
MAZ	RCVRN
MAZ	BMP1
CCDC120	RBPMS
CCDC120	MKRN3
CCDC120	KRT40
CHCHD4	CHCHD2
CHCHD4	ILF3
RBPMS	MKRN3
RBPMS	IP6K2
RBPMS	INCA1
RBPMS	ILF3
SERPING1	SCO2
SERPING1	SCAF1
SERPING1	KRT6B
SERPING1	ZNF292
KRT6B	SPATA31A7
KRT6B	SGO2
KRT6B	TIAM1
KRT6B	SCAF1
KRT6B	ZNF292
FARS2	MKRN3
FARS2	KRT40
FARS2	TRAF2
FARS2	CALCOCO2
FARS2	CHCHD2
IP6K2	UBC
MFAP1	KRT40
MFAP1	PRPF19
MFAP1	SSX2IP
SGO2	SCAF1
SGO2	ZNF292
KANK2	TRAF2
KANK2	SSX2IP
KANK2	KRT40
RPS9	ILF3
RPS9	HNRNPA2B1
TYK2	IL15RA
INCA1	CHCHD2
PRPF19	CPSF2
PRPF19	HNRNPA2B1
PRPF19	UBC
MKRN3	TRAF2
TRAF2	UBC
TRAF2	CHCHD2
KRT40	CHCHD2
HNRNPA2B1	ILF3
HNRNPA2B1	UBC
HNRNPA2B1	CPSF2
HNRNPA2B1	SCO2
UBC	ILF3
UBC	CALCOCO2
UBC	TIAM1
ZNF292	SPATA31A7
GRK1	RCVRN
IL15RA	RCVRN
SPATA31A7	SCAF1
SCAF1	TIAM1
