#tail	head
SRPK1	WDR1
CFL1	MCM2
CFL1	STOML2
FGF4	AKT3
FGF4	IGHV4-39
FGF4	IGHG2
FGF4	IGKV1D-39
FGF4	KIT
FGF4	HBEGF
FGF4	EGFR
DUSP21	TIE1
DUSP21	ITK
DUSP21	KIT
HBEGF	IGLC1
HBEGF	PAX4
HBEGF	EDNRA
HBEGF	IGHG2
HBEGF	AKT3
HBEGF	ITK
IGLC1	IGHV4-39
IGLC1	AKT3
IGLC1	EGFR
IGLC1	KIT
IGLC1	IGHG2
AKT3	IGHV4-39
AKT3	IGHG2
AKT3	CDK2
AKT3	IGKV1D-39
AKT3	EGFR
TFCP2L1	TFCP2
TFCP2L1	TFAP4
ITK	EGFR
ITK	KIT
ITK	IGHG2
CLIC1	SPI1
MCM2	HIST1H2AH
MCM2	HIST1H2BM
SRPRB	RPL12
SRPRB	RPS27
CDK2	TFCP2
ZFPM1	HIST1H2BM
RPL12	RPS20
RPL12	HIST1H2BM
RPL12	RPS27
EGFR	RPS27
EGFR	EDNRA
EGFR	IGHV4-39
EGFR	SLC9A1
EGFR	IGKV1D-39
PDE4D	ADCY6
EDNRA	ADCY6
EDNRA	SLC9A1
HIST1H2AH	HIST1H2BM
LIMCH1	TFCP2
TFAP4	SPI1
TFAP4	PAX4
SLC9A1	TFCP2
PAX4	TIE1
IGKV1D-39	KIT
IGKV1D-39	IGHG2
IGKV1D-39	IGHV4-39
KIT	IGHG2
