#tail	head
TRIM37	ARNT2
PRNP	HSPA1A
PRNP	FHL1
PRNP	IL4
HIST1H2BF	HIST2H2AB
HIST1H2BF	POLR2A
HIST1H2BF	MNAT1
HIST1H2BF	LEO1
HIST1H2BF	SAP30
HIST2H2AB	HIST1H1A
SUPT4H1	MNAT1
SUPT4H1	FOXJ1
SUPT4H1	POLR2A
SUPT4H1	LEO1
SUPT4H1	MEF2A
SUPT4H1	SP1
SAP30	RBBP5
BZW2	EIF6
BZW2	SP1
BZW2	MEF2A
MEF2A	IL4
MEF2A	UBE2D1
MEF2A	HIST1H1A
MEF2A	RARA
MEF2A	SOX1
UBE2F	KLHL3
RBBP5	CSTF3
RBBP5	POLR2A
RBBP5	COPS5
MNAT1	POLR2A
MNAT1	SP1
MNAT1	LMO2
MNAT1	RARA
MNAT1	CDKN1B
F12	HSPA1A
F12	UBE2D1
ARNT2	LMO2
EIF6	HSPA1A
RARA	POLR2A
RARA	COPS5
RARA	IL4
LMO2	POLR2A
SOX1	FOXJ1
SP1	GANAB
SP1	POLR2A
SP1	HIST1H1A
SP1	HSPA1A
SP1	COPS5
SP1	FHL1
SKIV2L	DIS3
IL4	IL1RAP
LEO1	POLR2A
LEO1	CSTF3
FOXJ1	KLHL3
BTK	EPHA2
BTK	IL1RAP
COPS5	HSPA1A
COPS5	KLHL3
COPS5	CDKN1B
CDKN1B	UBE2D1
HSPA1A	POLR2A
POLR2A	CSTF3
