#tail	head
DCN	E2F4
ST6GAL1	PIP4K2A
ST6GAL1	CHPT1
BID	APP
BID	PIK3CA
BID	RYR1
TLK2	AMOTL1
TLK2	MEIS1
APOD	APP
APOD	STS
APOD	ASAH1
CHPT1	MOGAT1
CHPT1	PLA2G3
RYR1	CCL5
SYF2	APP
SYF2	PIK3CA
SYF2	PRPF8
SYF2	RBM15
FZR1	CCNA1
FZR1	CCL5
ACSS2	MOGAT1
ACSS2	PLA2G3
ACSS2	ACSM1
ACSS2	APP
ACSS2	MOGAT3
ACSS2	ASAH1
ACSS2	CPT1B
ACSS2	ELOVL5
PRPF8	PIP4K2A
PRPF8	AMOTL1
PRPF8	SNRPD1
PRPF8	RBM15
KLB	IL33
KLB	PIP4K2A
E2F4	JADE2
E2F4	CCNA1
E2F4	SNRPD1
RBM15	SNRPD1
ACSM1	MOGAT3
ACSM1	ASAH1
ACSM1	ELOVL5
ACSM1	APP
ACSM1	MOGAT1
ELOVL5	CPT1B
PIP4K2A	PIK3CA
PIP4K2A	IL33
SNRPD1	NUP35
SNRPD1	NUPL2
ASAH1	CPT1B
ASAH1	STS
ASAH1	PLA2G3
ASAH1	MBOAT1
PLA2G3	MOGAT3
PLA2G3	APP
PLA2G3	MBOAT1
CCL5	APP
CCL5	PIK3CA
COL11A1	MEIS1
MOGAT3	MOGAT1
MBOAT1	CPT1B
MOGAT1	CPT1B
JADE2	APP
