#tail	head
SRSF3	SF3B1
SMARCE1	OIP5
SMARCE1	KLF1
SF3B1	AAR2
SF3B1	CHD4
SF3B1	PRKDC
SF3B1	FOXB1
SF3B1	U2SURP
EIF3H	DDX3X
EIF3H	PSMB5
EIF3H	EIF3D
EIF3H	HSP90AB1
EIF3H	EIF4A1
IMMT	TOMM20
IMMT	ITGA4
IMMT	AAR2
HK2	FOXB1
HK2	AAR2
HK2	TOMM20
GIT2	OIP5
DDX3X	VIRMA
DDX3X	MME
DDX3X	AAR2
DDX3X	PRKDC
DDX3X	EIF4A1
DDX3X	ITGA4
DDX3X	USE1
DDX3X	EIF4G1
DDX3X	HSP90AB1
DDX3X	EIF3D
CHCHD3	AAR2
TIAL1	KLF1
HSP90AB1	EIF3M
HSP90AB1	SET
HSP90AB1	EIF4A1
HSP90AB1	PRKDC
EIF4A1	AAR2
EIF4A1	PRKDC
EIF4A1	EIF3M
MME	EIF3D
MME	HDAC3
RCOR1	CHD4
FOXB1	EIF4G1
CHD4	EIF4G1
CHD4	PRKDC
CHD4	EIF3D
CHD4	VIRMA
CHD4	NUFIP2
CHD4	ITGA4
EIF4G1	EIF3D
EIF4G1	ITGA4
EIF4G1	EIF3M
EIF3D	EIF3M
EIF3D	SET
GSTK1	ITGA4
SET	AAR2
SET	CALCOCO2
SET	BUB3
VIRMA	TERF2
PRKDC	ITGA4
AAR2	BUB3
BUB3	ITGA4
