#tail	head
VAMP4	PIP4K2A
ELAVL1	ELK1
ELAVL1	IGF2R
ELAVL1	SH3GL1
ELAVL1	DDX5
ELAVL1	CXCL1
ELAVL1	RNF2
ELAVL1	PRPF6
ELAVL1	U2AF2
RNF2	G3BP1
RNF2	DDX5
RNF2	POU5F1
ZNHIT2	ELK1
ZNHIT2	PRPF6
G3BP1	DDX47
G3BP1	SH3GL1
G3BP1	ELAVL2
UBP1	ZBTB18
TLR7	ZBTB18
TLR7	CTSS
CXCL1	CTSS
PIP4K2A	IGF2R
PIP4K2A	SH3GL1
ELK1	PRPF6
ELK1	CBLL1
ELK1	DDX5
IGF2R	SH3GL1
FOXD3	POU5F1
POU5F1	SH3GL1
POU5F1	DDX47
U2AF2	GABPA
U2AF2	ELAVL2
U2AF2	DDX5
U2AF2	POLR2J
GABPA	DDX47
GABPA	DDX5
GABPA	CTSS
PRPF6	DDX5
PRPF6	ELAVL2
DDX5	POLR2J
DDX5	ELAVL2
