#tail	head
ADH4	ACOX1
A1CF	HNF4A
A1CF	TNRC6A
LAMA4	COL6A1
LAMA4	PARVB
LAMA4	COL13A1
SMU1	DHX16
SMU1	HIST3H3
SMU1	THOC7
SMU1	HIST1H3A
TBX6	TNRC6A
TBX6	ZEB1
TBX6	CEBPA
HIST1H3A	KMT2C
HIST1H3A	HMGB1
HIST1H3A	HIST1H1C
HIST1H3A	DPY30
THOC7	DHX16
THOC7	FIP1L1
HMGB1	HIST1H1C
HMGB1	ZEB1
HMGB1	NEUROD6
HMGB1	HNF4A
ACOX1	HNF4A
DPY30	KMT2C
DPY30	ARFGEF1
DPY30	HNF4A
DPY30	HIST3H3
KMT2C	FIP1L1
KMT2C	HIST3H3
HIST1H1C	CEBPA
HIST1H1C	FIP1L1
HIST1H1C	ZEB1
HIST1H1C	OFCC1
HIST1H1C	HIST3H3
ARFGEF1	HNF4A
CEBPA	COL13A1
CEBPA	HNF4A
CEBPA	ZEB1
CEBPA	OFCC1
ZEB1	HNF4A
ZEB1	OFCC1
COL13A1	P4HA1
COL13A1	PARVB
HNF4A	PARVB
FIP1L1	DHX16
FIP1L1	P4HA1
PARVB	COL6A1
P4HA1	COL6A1
