#tail	head
NHLH1	VPS45
EXOSC7	PARN
EXOSC7	RCL1
EXOSC7	UTP6
VPS45	RUNX2
LSM7	SNRPB2
LSM7	SRSF6
RUNX2	SRSF6
CSTF1	SNRPB2
CSTF1	TNIP2
CSTF1	PARN
CSTF1	SRSF6
CAD	SPDL1
CAD	AAR2
CAD	ZUP1
CAD	TGFB1
CAD	TNIP2
RCL1	UTP6
RCL1	RNF2
TEFM	SDC2
TEFM	ZUP1
NOTO	KRTAP5-6
NOTO	ANKRD11
NUP43	NUPL2
NUP43	ITGB3BP
NUP43	NUP160
NUP43	GEMIN4
NUP43	NEK9
NUP43	KPNA3
NUP43	SPDL1
SRSF6	SNRPB2
SRSF6	TNIP2
TUBB1	AAR2
TUBB1	SPDL1
TUBB1	ZUP1
ARPC5L	TNIP2
ARPC5L	WASL
KPNA3	NUPL2
KPNA3	NUP160
KPNA3	TNIP2
KPNA3	ANKRD11
SPDL1	ITGB3BP
SPDL1	NUP160
SPDL1	NEK9
ZEB1	ITGB3BP
ZEB1	GEMIN4
NEK9	NUPL2
NEK9	NUP160
TGFB1	ITGB3BP
TGFB1	SDC2
TGFB1	PDGFRB
TGFB1	LCE1D
SNRPB2	GEMIN4
SNRPB2	RNF2
TNIP2	NUP160
TNIP2	SDC2
TNIP2	ANKRD11
NUP160	GEMIN4
NUP160	NUPL2
NUP160	ITGB3BP
UTP6	RNF2
NUPL2	GEMIN4
LCE1D	KRTAP5-6
ANKRD11	ITGB3BP
WASL	PDGFRB
