#tail	head
TEKT3	TNS2
SLC25A13	FBXO6
SLC25A13	GSN
SLC25A13	JUN
SLC25A13	ONECUT1
TUT4	EGLN3
KDR	PTPN13
KDR	RAC1
KDR	SNCA
KDR	CUX1
KDR	CALM2
KDR	EYA1
DHCR24	LEF1
DHCR24	CYP7A1
DHCR24	MDM2
DHCR24	UGCG
PPIL4	SNRPE
PPIL4	E4F1
FCHO1	PTPN13
FCHO1	AP2A2
PF4V1	GSN
AAK1	PIP5K1C
AAK1	AP2A2
RAMAC	CUL4B
UGCG	CD83
EPHA5	CDC25A
EPHA5	PTPN13
EPHA5	TSPAN3
PIP5K1C	PTPN13
PIP5K1C	JAK3
PIP5K1C	AP2A2
PIP5K1C	SH3KBP1
PLS1	JUN
SRSF4	NXF2
SRSF4	JUN
SRSF4	SNCA
SRSF4	CDC5L
TUBG2	PPP2R1A
TUBG2	FBXO6
PSMD12	CALM2
PSMD12	RAD23A
PSMD12	RELA
PSMD12	RBX1
PSMD12	CDC5L
SNRPE	YWHAH
SNRPE	POLR2A
SNRPE	RBM8A
SNRPE	JUN
SH3KBP1	RAC1
SH3KBP1	PPP2R1A
SH3KBP1	ETS2
GSTP1	HIST1H4E
GSTP1	SNCA
GSTP1	MDM2
GSTP1	TYMP
LTK	CDKN3
NBL1	KLHL12
CASP1	RBX1
CASP1	SNCA
RBX1	EGLN3
RBX1	HIST1H4E
RAB11A	ETS2
RAB11A	YWHAE
RAB11A	PPP2R1A
IFI16	MDM2
IFI16	PPHLN1
CYP46A1	CYP7A1
PPHLN1	CENPJ
IGF2BP1	ONECUT1
IGF2BP1	FBXO6
E4F1	CALM2
E4F1	PPP2R1A
E4F1	UMPS
LEF1	CDKN3
LEF1	SMARCA5
LEF1	ALYREF
LEF1	HIST2H3C
LEF1	RUNX1
EIF3E	JUN
TNS2	CDC5L
FBXL17	ESRRA
HIST1H4E	HNRNPA3
HIST1H4E	CALM2
HIST1H4E	NCOA6
HIST1H4E	YWHAE
HIST1H4E	EYA1
RELA	PPP2R1A
RELA	MDM2
RELA	PDCD11
RELA	NCOA6
RELA	SNCA
RELA	TIMM8B
RELA	JAK3
CCR10	CALM2
UMPS	EPPIN
UMPS	EGLN3
RUNX1	JUN
RUNX1	EYA1
CDC25A	ONECUT1
CDC25A	EGLN3
CDC25A	YWHAE
CDC25A	CUX1
CDC25A	CDKN3
POLR2A	ELOB
POLR2A	RBM8A
HDAC5	YWHAE
HDAC5	PTPN13
ESRRA	ETS2
ESRRA	YWHAH
ESRRA	MAP2K5
ESRRA	CALM2
ESRRA	SMARCA5
AP2A2	PTPN13
AP2A2	PIK3R3
PDCD11	JUN
YWHAH	CENPJ
SNCA	MT-CO3
SNCA	YWHAE
CDKN3	RAD23A
RBM8A	ALYREF
CUX1	PIK3R3
PIK3R3	PTPN13
PIK3R3	EGLN3
CENPJ	EGLN3
PPP2R5E	BHLHB9
MDM2	RAD23A
PTPN13	JAK3
PTPN13	EGLN3
CUL4B	ALYREF
CUL4B	RAD23A
CUL4B	CALM2
MT-CO3	RAC1
GSN	JAK3
CSTF3	ALYREF
CSTF3	JUN
YWHAE	EGLN3
YWHAE	JUN
RAC1	ETS2
HIST2H3C	JUN
EGLN3	JUN
EYA1	JUN
ETS2	CALM2
ETS2	JAK3
