#tail	head
HIKESHI	COMMD10
MSH3	SPDL1
DRD1	SP1
DRD1	MYC
NTF3	IGHV2-5
NTF3	PLCG2
NTF3	FOXO4
NTF3	LRRFIP1
NTF3	IGHV1-2
RBL1	TFDP2
PF4V1	PLA2G4F
PF4V1	DCD
PF4V1	F2
OAS3	PABPC4
P2RX1	SORBS3
FGFR1OP2	GNG2
FGFR1OP2	IGHV1-2
FGFR1OP2	IGHV2-5
FGFR1OP2	PLCG2
FGFR1OP2	SP1
FGFR1OP2	MET
FGFR1OP2	PIK3CD
UPP2	PGAM2
SORBS3	CHRNA9
SORBS3	F2
SORBS3	CLCA2
SORBS3	HTR3C
SORBS3	PLA2G4F
SORBS3	FOXO4
SORBS3	SLA2
SORBS3	TRAPPC11
FAM83H	LEF1
DCD	SLA2
DCD	PPBP
DCD	ARRB2
DCD	HSPA1A
PLCG2	MET
PLCG2	IGHV1-2
PLCG2	SRC
EIF4A3	HSPA1A
EIF4A3	DDX23
EIF4A3	NXF1
LAMC2	MET
LAMC2	PTK2B
LAMC2	SRC
LAMC2	CAV1
COL5A1	CAV1
COL5A1	LEF1
COL5A1	PXN
COL5A1	PTK2B
IFRD2	SP1
FOXA2	MYC
PIK3CD	RRAS
PIK3CD	IGHV1-2
PIK3CD	LEF1
PIK3CD	FOXO4
PIK3CD	IGHV2-5
HSPA1A	AAR2
HSPA1A	TRIM25
HSPA1A	STIP1
HSPA1A	SRC
HSPA1A	CLTC
HSPA1A	RAE1
HSPA1A	MT1M
NKX2-1	GTF3A
NKX2-1	NXF1
NKX2-1	SRC
SP1	CGA
SP1	POU3F2
SP1	FSHB
SP1	MYC
SP1	MAZ
SP1	DCP1A
SP1	CLTC
SP1	NXF1
SP1	TXN
SP1	ATP1B1
SP1	SH3KBP1
SP1	TTPAL
SP1	DNM3
FOXO4	ARRDC3
FOXO4	FXYD1
FOXO4	CSNK1G3
FOXO4	IL7R
FOXO4	PDGFRA
FOXO4	GCH1
FOXO4	MAZ
IGHV1-2	SRC
IGHV1-2	SH3KBP1
IGHV1-2	DGKI
PLD2	PTK2B
PLD2	CAV1
PLD2	F2
PLA2G1B	MAPK3
SH3KBP1	G3BP1
SH3KBP1	NXF1
SH3KBP1	IGHV2-5
SH3KBP1	SRC
SH3KBP1	LRRFIP1
SH3KBP1	GSTT1
HMGCS1	PDGFRA
HMGCS1	GSTT1
MAZ	FXYD1
MAZ	LRRFIP1
MAZ	SRC
MAZ	LEF1
MAZ	POU3F2
MAZ	DUSP9
PPBP	GNG2
PPBP	F2
PPBP	SLA2
MYL5	TRPA1
CX3CL1	FSHB
NUDT4	PHKB
TRPA1	F2
TRPA1	OXTR
MYC	FSHB
MYC	PABPC4
MYC	PREP
MYC	CLTC
MYC	GSTT1
MYC	SF3B3
MYC	TRIM25
AAR2	SF3B3
AAR2	TXN
RELB	CLTC
RELB	MT1M
TXN	MAPK3
TXN	MT1M
TXN	MAP1LC3B
POMC	GNG2
DUSP9	RRAS
DUSP9	MAPK3
HTR3C	GNG2
HTR3C	FXYD1
APOL3	IL7R
LEF1	CLTC
LEF1	G3BP1
LEF1	GCH1
LEF1	ATP1B1
LEF1	NXF1
LEF1	S1PR2
LEF1	BMX
CLTC	IL7R
CLTC	PXN
CLTC	MAP1LC3B
CLTC	SPDL1
IL7R	G3BP1
IL7R	PTK2B
NXF1	CAV1
NXF1	FTO
NXF1	TARBP2
NXF1	RAE1
AP2M1	SRC
CHMP2B	VPS37C
CHMP2B	MAP1LC3B
CHMP2B	CHMP4C
USP39	DDX23
PTK2B	RRAS
MAPK3	ARRB2
MAPK3	SRC
SLC24A5	PXN
SLC24A5	SCNN1G
PLA2G4F	F2
PLA2G4F	CLCA2
TRIM50	DDX23
TRIM25	SF3B3
TRIM25	RAD9A
TRIM25	TARBP2
TRIM25	TDRD9
TRIM25	MAD2L2
TRIM25	TNPO1
TRIM25	CSNK1G3
HEPACAM2	CD320
PABPC4	RAE1
HDHD2	TARBP2
FSHB	LRRFIP1
FSHB	SRC
FSHB	F2
RPLP2	SPDL1
RPLP2	MAD2L2
ARRDC3	CSNK1G3
ARRDC3	ARRB2
CHORDC1	SRC
PTPRQ	EPHA10
TNPO1	G3BP1
MET	GNG2
IGHV2-5	GNG2
SLC1A5	CLCA2
MAD2L2	FTO
MAD2L2	SDF4
SRC	S1PR2
SRC	CAV1
SRC	ARRB2
SRC	PDGFRA
CLCA2	CHRNA9
S1PR2	CSNK1G3
CAV1	BMX
ATP1B1	FXYD1
GNG2	F2
CGA	CDKN1B
CGA	ARRB2
RRAS	POU3F2
RAD9A	SF3B3
CHRNA9	PXN
PDGFRA	F2
MAP1LC3B	PINK1
MAP1LC3B	CHMP4C
CSNK1G3	ARRB2
CHMP4C	MVB12A
PINK1	F2
TRMT2A	TFDP2
ARRB2	SF3B3
