#tail	head
FAM114A1	SNAPIN
TIMMDC1	BCAP31
TIMMDC1	NDUFA6
RLIM	STMN1
BACH2	EPHB2
BACH2	NF1
BACH2	CSMD3
BACH2	JUN
BCAP31	UBAC1
TP53	TFAP4
TP53	FOXO4
TP53	IGF1
TP53	SIRT7
TP53	POLRMT
TP53	KPNB1
RALGPS2	FOXO4
RALGPS2	RASAL2
RALGPS2	NF1
RALGPS2	CDC25C
STMN1	CAMK2B
STMN1	FOXO4
CAMK2B	MAD2L2
CAMK2B	PAPSS1
GTPBP2	JUN
GTPBP2	RNASE3
SIRT7	SMU1
SIRT7	NF1
SIRT7	POLRMT
SIRT7	KPNB1
EPHB2	JUN
EPHB2	CDC25C
EPHB2	NF1
EPHB2	TFAP4
TFAP4	MAD2L2
TFAP4	FOXO4
TFAP4	CSMD3
SNAPIN	KPNB1
TRMT61B	POLRMT
RASAL2	CDC25C
RASAL2	NF1
KPNB1	JUN
CDC25C	FOXO4
PAPSS1	CHST1
UBAC1	RNASE3
NF1	JUN
NF1	FOXO4
IGF1	JUN
IGF1	FOXO4
CSMD3	JUN
CSMD3	FOXO4
SMU1	JUN
SMU1	PHGDH
PHGDH	JUN
NDUFA6	JUN
JUN	CHST1
