#tail	head
NOC4L	STX12
REC8	STAG2
REC8	HIST1H4L
NDUFB8	NDUFA4
NDUFB8	COX6C
NDUFB8	ACAD9
AGTR1	PLEKHA1
AGTR1	CD80
AGTR1	FGF17
ACTB	UBB
ACTB	LMOD1
ACTB	MPP3
ACTB	COPS5
ACTB	CCT2
ACTB	TUBGCP2
ACTB	RHOC
ACTB	HIST1H2AK
ACTB	RPS3A
ACTB	AKT1
ACTB	EZR
GADD45B	IL18RAP
STX12	STAT1
STX12	AQP8
ACAD9	ATAD3A
ACAD9	NDUFA4
ACAD9	OCLN
MATK	HSP90AB1
NDUFV3	NDUFS1
NDUFV3	NDUFA4
AKT1	UBB
AKT1	OCLN
AKT1	ALDOA
AKT1	MAP3K14
STAT1	HIST1H2BJ
STAT1	CCR5
STAT1	PTPN2
CDK15	CCT2
CDK15	HMGCS1
BBIP1	MCHR1
BBIP1	CCT2
PSMB1	SMAD1
PSMB1	UBC
ATP6AP1	AQP8
ATP6AP1	SRRM2
ATP6AP1	RSPRY1
ATP6AP1	ATP1B1
UBB	CRYBA4
UBB	HIST1H2BJ
UBB	SMAD1
UBB	HSP90AB1
UBB	PLEKHA1
UBB	TUBGCP2
UBB	SRRM2
UBB	RPS3A
UBB	EGLN3
UBB	HSBP1
ICOS	CPSF6
ICOS	GNB4
ICOS	BAIAP2
ICOS	VAV1
ZNF383	EWSR1
CHRNB2	ATP1B1
CHRNB2	F2
NDUFS1	ATP1B1
NDUFS1	NDUFB5
NDUFS1	UBC
HMGCS1	ABTB2
KBTBD4	CCT2
KBTBD4	COPS5
KBTBD4	MPP3
BAIAP2	GNB4
BAIAP2	FGF17
BAIAP2	VAV1
MCM2	EWSR1
MCM2	HIST1H4L
MCM2	RPS3A
MCM2	ALDOA
UBC	PLEKHA1
UBC	COPS5
UBC	EGLN3
UBC	PALB2
UBC	TUBGCP2
UBC	PTPN2
HSBP1	CRYBA4
HSF2	WASHC3
HSF2	SMAD1
HSF2	STAG2
RHOC	ARHGEF6
RHOC	VAV1
TUBGCP2	HSP90AB1
TUBGCP2	ATAD3A
DRD5	GNB4
DRD5	FGF17
DRD5	TAC1
CD80	CPSF6
CD80	FGF17
CD80	VAV1
PRDM14	STRN3
CPSF6	FGF17
CPSF6	SH2D2A
CPSF6	VAV1
CPSF6	RPS3A
CPSF6	SRRM2
CPSF6	IGLV7-43
GPSM3	GNB4
GPSM3	MCHR1
CBFB	HIST1H4L
PALB2	KRT14
KRT14	F2
MPP3	EZR
MPP3	HSP90AB1
GAS8	ZNF572
ABTB2	AQP8
STAG2	HIST1H4L
STAG2	SRRM2
EWSR1	HIST1H4L
FGF17	GNB4
FGF17	SH2D2A
RSPRY1	OCLN
RSPRY1	ALDOA
RSPRY1	SRRM2
RSPRY1	EZR
MSL3	HIST1H4L
ATAD3A	EGLN3
ATAD3A	NDUFA4
SH2D2A	VAV1
SH2D2A	IGLV7-43
CCT2	MEPCE
CCT2	EGLN3
CCT2	COPS5
HSP90AB1	RPS3A
HSP90AB1	COPS5
HSP90AB1	MEPCE
HNRNPUL2	COPS5
HNRNPUL2	MEPCE
KCNN3	ATP1B1
GNB4	CCR5
STRN3	CTTNBP2
NDUFA4	EGLN3
VAV1	IGLV7-43
COPS5	SRRM2
OCLN	F2
AGFG1	PLEKHA1
