#tail	head
MAB21L3	TFCP2
AASS	GPT
AASS	KARS
HIST1H4D	HIST1H3F
HIST1H4D	HIST1H3H
HIST1H4D	NTRK1
HIST1H4D	NFKB1
HIST1H4D	HOXC4
GPT	CTPS2
GPT	PSAT1
SETD6	GTF2IRD1
UBE2S	KARS
UBE2S	WSB1
UBE2S	RPS27A
HIST1H3F	HOXC4
HIST1H3F	PCNA
HIST1H3F	RRP1B
HIST1H3F	RPS27A
HIST1H3F	CHEK1
CTPS2	KARS
CTPS2	PSAT1
ATP5MF	AK2
PCNA	RPS27A
PCNA	G3BP1
PCNA	HIST1H3H
PCNA	CDC27
TFCP2	TEAD2
TFCP2	SPOCK2
KARS	PRKAA1
KARS	AK2
RPS27A	ELOC
RPS27A	NTRK1
RPS27A	NFKB1
RPS27A	RRP1B
RPS27A	CDC27
RPS27A	AK2
G3BP1	PRKAA1
G3BP1	NTRK1
WSB1	AK2
WSB1	ELOC
LRRC41	TEAD2
LRRC41	ELOC
NTRK1	AK2
NTRK1	PRKAA1
NTRK1	RRP1B
ELOC	CHEK1
ELOC	AK2
TEAD2	CDC27
HMGB3	HIST1H3H
AK2	CDC27
NFKB1	CHEK1
CHEK1	HIST1H3H
GTF2IRD1	PAX4
HOXC4	PAX4
CDC27	HIST1H3H
