#tail	head
SHISA3	PNMA1
RTCA	HSCB
RTCA	ARF6
RTCA	JUN
CASP8	XIAP
CASP8	CASP3
CASP8	TYR
CASP8	ABCC1
CASP8	TRAF6
CASP8	APP
CASP8	MAP3K14
CASP8	TP53
CASP8	TGFB1
CASP8	TRAF2
RASSF2	COA7
RASSF2	PTF1A
RASSF2	REPIN1
MGAT4B	B3GNT5
MGAT4B	EXT1
SYVN1	REPIN1
SYVN1	AUP1
SYVN1	APP
SYVN1	TYR
SYVN1	FAF2
SYVN1	OS9
SYVN1	TP53
PRKAA1	ISCU
PRKAA1	KAT2B
PRKAA1	TYR
PRKAA1	MARK2
PRKAA1	ESR1
PRKAA1	APP
PRKAA1	STAT5A
PRKAA1	USP10
PRKAA1	ARF6
PRKAA1	KRT40
PRKAA1	TP53
PRKAA1	GOLGA2
PRKAA1	TGFB1
PRKAA1	STAT5B
PRKAA1	CASP3
PRKAA1	NOS3
PRKAA1	PRODH
PNMA1	CDX2
PNMA1	REPIN1
PNMA1	DCTN4
PNMA1	CCDC198
PNMA1	KAT2B
PCM1	SHANK2
PCM1	TRPC1
PCM1	GABARAPL1
PCM1	MAX
PCM1	GOLGA2
PCM1	PIK3R1
PCM1	TRAF3IP1
TRAF2	XIAP
TRAF2	MAP3K14
TRAF2	TNFRSF17
TRAF2	JUN
TRAF2	TRAF6
TRAF2	TNFRSF4
TRAF2	CCDC198
MAP3K14	STAT5A
MAP3K14	TRAF6
MAP3K14	RPL6
MAP3K14	STAT5B
MAP3K14	CASP3
MAP3K14	SSB
FAF2	OS9
FAF2	XPR1
FAF2	HSCB
FAF2	MT-CO2
FAF2	AUP1
GABARAPL1	RPL6
GABARAPL1	SSB
GABARAPL1	AIFM1
GABARAPL1	JUN
GABARAPL1	SDHB
GABARAPL1	HIST1H4E
GABARAPL1	AGO1
GABARAPL1	KRT9
USP10	JUN
USP10	TRAF6
USP10	TP53
USP10	TRPC1
ISCU	KRT40
ISCU	ESR1
ISCU	SDHB
ISCU	KAT2B
ISCU	APP
ISCU	NOS3
ISCU	HSCB
ISCU	TP53
ISCU	GOLGA2
ISCU	TRPC1
ISCU	CASP3
ISCU	TYR
ISCU	ARF6
XPR1	PTF1A
XPR1	REPIN1
XPR1	VSIG4
HIST1H2AK	MAX
HIST1H2AK	KAT2B
HIST1H2AK	HIST1H4E
HIST1H2AK	NEK4
AIFM1	MT-CO2
AIFM1	CASP3
AIFM1	JUN
AIFM1	XIAP
AIFM1	NEK4
AIFM1	MAX
AIFM1	EIF3G
AIFM1	COA7
AIFM1	ESR1
NOS3	CASP3
NOS3	TYR
NOS3	PRODH
NOS3	ESR1
NOS3	APP
NOS3	TP53
NOS3	F2
NOS3	TGFB1
NOS3	GOLGA2
ARHGAP45	MAX
ARHGAP45	GOLGA2
ARHGAP45	RHOBTB1
ARHGAP45	REPIN1
RAB18	DCTN4
RAB18	VSIG4
MT-CO2	SDHB
MT-CO2	TRAF6
MT-CO2	JUN
MT-CO2	SOS1
MT-CO2	PIK3R1
ABRAXAS2	PAAF1
ABRAXAS2	AUP1
ABRAXAS2	TP53
GAMT	POT1
GAMT	APP
GAMT	TP53
SSB	MAX
SSB	SEPHS1
SSB	APP
SSB	NEK4
SSB	XIAP
SSB	JUN
SSB	HIST1H4E
SSB	TRAF6
TP53	MARK2
TP53	RHOBTB1
TP53	TGFB1
TP53	PINK1
TP53	CNR1
TP53	TRAF6
TP53	KIF15
TP53	AGO1
TP53	GOLGA2
TP53	ABCC1
TP53	JUN
TP53	REPIN1
TP53	KAT2B
TP53	CASP3
TP53	PIK3R1
TP53	ESR1
TP53	APP
TP53	F2
TP53	RPL6
TP53	ARF6
TP53	TYR
TP53	MAX
TP53	PRODH
ADGRB2	SHANK2
ADGRB2	TRPC1
UCHL5	ASPRV1
UCHL5	HIST1H4E
UCHL5	KRT9
UCHL5	PAAF1
UCHL5	TGFB1
UCHL5	APP
FUT9	B3GNT5
FUT9	OS9
ARF6	ESR1
ARF6	KAT2B
ARF6	APP
ARF6	TYR
ARF6	PIK3R1
ARF6	PRODH
ARF6	MAX
ARF6	EIF3G
ARF6	IL2RG
ARF6	SOS1
ARF6	TGFB1
TYR	ABCC1
TYR	KAT2B
TYR	CASP3
TYR	ESR1
TYR	TRAF6
TYR	PRODH
TYR	TGFB1
TYR	APP
TYR	TRPC1
TYR	MAX
TRPC1	TGFB1
TRPC1	OS9
TRPC1	SOS1
TRPC1	JUN
TRPC1	KRT9
TRPC1	APP
TRPC1	F2
CNR1	RHOBTB1
CNR1	STAT5A
CNR1	ESR1
CNR1	JUN
CNR1	HIST1H4E
EXT1	NRROS
EXT1	STAT5A
EXT1	B3GNT5
VSIG4	PIK3R1
VSIG4	APP
EIF3G	GOLGA2
EIF3G	SEPHS1
EIF3G	APP
EIF3G	POT1
SEPHS1	ESR1
SEPHS1	RPL6
XIAP	TRAF6
XIAP	TGFB1
XIAP	GOLGA2
XIAP	CASP3
SHANK2	APP
SHANK2	JUN
SHANK2	PIK3R1
APP	HSCB
APP	ESR1
APP	HLA-DQA1
APP	STAT5B
APP	RAD51B
APP	AGO1
APP	PINK1
APP	SLX4
APP	CASP3
APP	PIK3R1
APP	F2
APP	PRODH
APP	KAT2B
APP	HIST1H4E
APP	HLA-DOB
APP	NEK4
APP	REPIN1
APP	TRAF3IP1
APP	TGFB1
APP	JUN
APP	CDKL3
APP	TRAF6
APP	IL12RB2
APP	ABCC1
STAT5B	IL21
STAT5B	SOS1
STAT5B	JUN
STAT5B	REPIN1
STAT5B	STAT5A
STAT5B	PIK3R1
STAT5B	AUP1
STAT5B	IL2RG
STAT5B	IL12RB2
DCTN4	MAX
DCTN4	GOLGA2
DCTN4	KIF15
SLX4	ASPRV1
SLX4	RAD51B
POT1	HIST1H4E
SOS1	RHOBTB1
SOS1	ESR1
SOS1	STAT5A
SOS1	TRAF6
SOS1	IL21
SOS1	PIK3R1
SOS1	IL2RG
SOS1	IL12RB2
SDHB	PRODH
SDHB	HSCB
SDHB	MAX
SDHB	JUN
TULP3	IFT140
TULP3	MAX
KRT9	PIK3R1
KRT9	TRAF3IP1
KRT9	TRAF6
KRT9	ESR1
KRT9	F2
GOLGA2	JUN
GOLGA2	HSCB
GOLGA2	ESR1
GOLGA2	CCDC198
GOLGA2	CDKL3
PRODH	KAT2B
PRODH	ESR1
PRODH	CASP3
HLA-DQA1	HLA-DMB
HLA-DQA1	HLA-DOB
HLA-DQA1	KIF15
IL2RG	PIK3R1
IL2RG	STAT5A
IL2RG	IL21
IL2RG	IL12RB2
IL2RG	TNFRSF4
KIF15	ESR1
KIF15	NEK4
KIF15	MAX
NRROS	TGFB1
NRROS	MARK2
MAX	JUN
MAX	PTF1A
MAX	AUP1
MAX	CDKL3
OS9	HSCB
OS9	AUP1
OS9	ESR1
TGFB1	JUN
TGFB1	KAT2B
TGFB1	CASP3
TGFB1	ESR1
TGFB1	F2
CASP3	ESR1
CASP3	ABCC1
CASP3	PINK1
CASP3	PIK3R1
CASP3	F2
AUP1	HSCB
MARK2	PINK1
MARK2	REPIN1
MARK2	JUN
REPIN1	PTF1A
REPIN1	STAT5A
REPIN1	ESR1
REPIN1	RAD51B
JUN	FRG1
JUN	IL21
JUN	ABCC1
JUN	HIST1H4E
JUN	ESR1
JUN	RPL6
JUN	KAT2B
HSCB	PIK3R1
CCDC198	KRT40
IL21	STAT5A
IL21	IL12RB2
HLA-DOB	HLA-DMB
RPL6	AGO1
RPL6	ESR1
KAT2B	ESR1
KAT2B	ABCC1
KAT2B	PTF1A
KAT2B	HIST1H4E
TRAF3IP1	TRAF6
TRAF3IP1	IFT140
CDX2	TNFRSF17
FRG1	KRT40
HIST1H4E	AGO1
HIST1H4E	ESR1
HIST1H4E	RAD51B
PTF1A	STAT5A
IL12RB2	STAT5A
STAT5A	TRAF6
STAT5A	PIK3R1
STAT5A	ESR1
PIK3R1	ESR1
PIK3R1	TRAF6
PIK3R1	F2
PIK3R1	PINK1
TRAF6	TNFRSF17
TRAF6	ESR1
TRAF6	PINK1
F2	PINK1
F2	ABCC1
F2	ESR1
ABCC1	PINK1
ABCC1	ESR1
ESR1	RHOBTB1
