#tail	head
NADK	INPP5E
MKI67	MGA
MKI67	SYNCRIP
MKI67	PPIL1
SEPT2	DCUN1D3
SEPT2	EPB41L1
SEPT2	HSPA5
SEPT2	PIK3C2A
SEPT2	SEPT7
SEPT2	SGTA
SEPT2	SYNCRIP
SEPT2	FASN
ACOT6	SLCO1A2
ACOT6	FASN
NEDD8	SYNCRIP
NEDD8	COMMD8
NEDD8	HSPA5
NEDD8	RNF7
NEDD8	ASB17
NEDD8	PSMB3
NEDD8	DCUN1D3
FASN	SGTA
FASN	HSPA5
FASN	ARRB2
FASN	SEPT7
FASN	EHMT2
FASN	PCK1
PSMB3	EHMT2
PSMB3	EPB41L1
HSPA5	ARRB2
HSPA5	SEPT7
HSPA5	SLCO1A2
HSPA5	SGTA
SEPT7	EPB41L1
SEPT7	PIK3C2A
SEPT7	SGTA
SEPT7	SYNCRIP
SEPT7	DCUN1D3
PPIL1	SYNCRIP
PPIL1	CACTIN
ARRB2	PIK3C2A
SLC22A3	PDZD3
SLC22A3	BAX
ASB17	DCUN1D3
ASB17	RNF7
ASB17	COMMD8
COMMD8	RNF7
COMMD8	DCUN1D3
INPP5E	PCK1
INPP5E	PIK3C2A
SOD2	SLCO1A2
SOD2	BAX
SOD2	ENO3
SGTA	SYNCRIP
SGTA	DCUN1D3
SGTA	EPB41L1
SGTA	PIK3C2A
SLCO1A2	BAX
SLCO1A2	PDZD3
DCUN1D3	RNF7
EHMT2	MGA
PCK1	ENO3
SYNCRIP	CACTIN
