#tail	head
ZNF143	SPANXN3
MAU2	DNAJC7
TAF1	FYCO1
TAF1	TAF11
TAF1	HARS
TAF1	PSMD5
TAF1	CDC25B
TAF1	CCND1
HDAC3	H2AFV
HDAC3	RXRB
HDAC3	HIST1H2AD
HDAC3	AR
HDAC3	EMD
HDAC3	HIST1H3G
CDC25B	TESK2
CDC25B	FGFR2
CDC25B	E2F1
PIGO	PIGB
ZNF232	SERPING1
ZNF232	EMD
RUVBL1	H2AFV
RUVBL1	UCHL5
RUVBL1	CDH1
RUVBL1	HIST1H2AD
RUVBL1	NPM1
PRPF19	PTBP1
PRPF19	NCBP2
CKS1B	UBA52
CKS1B	PSMC3
CKS1B	CDKN1A
CKS1B	HNF4A
ZC3H18	CLK2
EMD	COPS6
EMD	FYCO1
EMD	HSPA1A
EMD	PDHA1
SLC16A8	LDHC
SPRED1	CDKN1A
SPRED1	CDH1
TEF	CCND1
TEF	DHX32
CDC40	NCBP2
CDC40	PTBP1
HSD3B2	LDHC
HSD3B2	GAPDH
HSD3B2	TMEM38A
GREM1	RXRB
PRKCG	GABRA1
PRKCG	AGT
PRKCG	CHUK
PRKCG	HRAS
HSPA1A	COPS6
HSPA1A	GAPDH
HSPA1A	AGT
HSPA1A	CDH1
HSPA1A	UBE2M
HSPA1A	AKR1C3
HSPA1A	KRT5
ICOS	FGFR2
ICOS	IGKV1-33
ICOS	CD79A
SH2D3C	SRC
GGA3	NTRK1
GGA3	UBA52
LRWD1	DNAJC7
SERPING1	SLC1A5
SERPING1	HNF4A
SERPING1	KRT5
NFATC2	FGFR1
CDKN1A	PUF60
CDKN1A	SKP2
CDKN1A	HRAS
CDKN1A	HNF4A
CDKN1A	ESRRA
RPN2	TCTN2
RPN2	ALG10
RPN2	PSMD7
DAD1	TCTN2
COPS6	NPM1
COPS6	PSMD5
JAGN1	AGPAT4
E2F1	GMPS
E2F1	FGFR1
E2F1	GAPDH
E2F1	SKP2
E2F1	SLC1A5
E2F1	PSMD7
E2F1	PUF60
UBE2M	TRAF6
UBE2M	PDHA1
UBE2M	PSMD7
UBE2M	GMPS
UBE2M	UBA52
UBE2M	DNAJC7
UBE2M	PTBP1
HIST1H2AD	NPM1
HIST1H2AD	ZEB1
LDHC	ADH7
PSMC3	NTRK1
PSMC3	SKP2
PSMC3	PSMD5
PSMC3	TRAF6
GMPS	PSMD5
GMPS	LGSN
GMPS	SCD5
ITGAM	RAD21
FYCO1	HNF4A
CCND1	HIST1H3G
CCND1	AR
CCND1	ESRRA
CCND1	AKR1C3
H2AFV	AR
H2AFV	CHD4
H2AFV	TTF1
RPL39L	UBA52
TAF11	RELA
TAF11	NR1H3
FGF20	IGKV1-33
FGF20	HRAS
FGF20	IL1RAP
FGF20	ZEB1
UBAP2L	NTRK1
AK2	PDHA1
AK2	SKP2
GRM3	IL7
RELA	AKR1C3
RELA	AGT
RELA	IL1RAP
RELA	ESRRA
PSMD7	ACVR2B
PSMD7	PSMB10
PSMD7	SKP2
NOS3	AGT
NOS3	SLC1A5
NOS3	AKR1C3
CDH1	AGT
CDH1	NLRP2
AKR1A1	GUSB
AKR1A1	AKR1C3
AKR1C3	PDHA1
AKR1C3	AR
AKR1C3	GABRA1
AKR1C3	SRC
AKR1C3	HNF4A
AKR1C3	AGT
PIGT	HNF4A
PIGT	PIGZ
UBA52	TRAF6
UBA52	NTRK1
UBA52	FGFR2
PRPF38A	PTBP1
PRPF38A	NCBP2
PRPF38A	PUF60
PRPF38A	PDHA1
DHX32	LIPH
ESRRA	RXRB
ESRRA	TTF1
ESRRA	ANKRD28
ESRRA	ELMSAN1
FSHB	HNF4A
FSHB	ZEB1
FSHB	UGT1A8
FSHB	UGT1A1
FSHB	AGT
FSHB	PUF60
ACVR2B	PSMD5
NPM1	ZNF622
NPM1	PTBP1
NPM1	FGFR1
UGT1A8	UGT1A1
UGT1A8	GUSB
UGT1A8	CTSD
HRAS	AGT
HRAS	AR
HRAS	SRC
HRAS	FGFR1
SPANXN3	ARIH1
CHD4	NTRK1
CHD4	PTBP1
CHD4	KRT5
NTRK1	GAPDH
NTRK1	PDHA1
NTRK1	CHUK
NTRK1	TRAF6
NTRK1	PTBP1
TCTN2	SCD5
SLC38A3	AR
SLC1A5	KRT5
SRC	PTBP1
SRC	AGT
SRC	FGFR1
SRC	CHUK
IGKV1-33	IL1RAP
IGKV1-33	TRAF6
HNF4A	UCHL5
HNF4A	AR
CRAT	SCD5
CRAT	ADH7
GHR	IL1RAP
GUSB	SCD5
ELMSAN1	HIST1H3G
ELMSAN1	AR
ELMSAN1	ZEB1
HIST1H3G	L3MBTL2
FGFR2	CD79A
ADH7	GAPDH
IGHV3-30	FGFR1
IGHV3-30	TRAF6
PTBP1	NCBP2
PTBP1	PUF60
UCHL5	CTSD
UCHL5	ZEB1
CTSD	UGT2B11
