#tail	head
SHROOM2	NCK1
CCNB1	FBF1
CCNB1	TP53
CCNB1	PRPSAP2
CCNB1	HIST1H4H
CCNB1	BUB1B
DAB1	SOCS1
DAB1	SERF2
PRPSAP2	SDC4
BUB1B	TP53
BUB1B	AQP9
BUB1B	PSMB7
SERF2	PSMB7
UBQLN1	GABRB2
UBQLN1	HGS
NCK1	SOCS1
NCK1	FGFR1OP
NCK1	FGFR3
NCK1	PTEN
AHR	BIN1
AHR	TP53
AHR	KLF4
AHR	GABRB2
AHR	PTEN
TP53	AQP9
TP53	KLF4
TP53	BIN1
TP53	PTEN
TP53	CASP7
TP53	SOCS1
TP53	DUSP26
SOCS1	FGFR3
BIN1	HGS
BIN1	SDC4
DUSP26	FGFR3
DUSP26	FLT4
PTEN	FGFR3
PTEN	HIST1H4H
PTEN	FLT4
PTEN	PI4K2B
PTEN	SDC4
PTEN	HGS
FGFR1OP	FBF1
FGFR1OP	FGFR3
HGS	KLF4
HGS	PI4K2B
TRPM6	CPNE6
TRPM6	HIST1H4H
MEOX2	FBF1
MEOX2	CPNE6
AQP9	CASP7
AQP9	CPNE6
HIST1H4H	CASP7
MTMR3	FGFR3
MTMR3	FLT4
MTMR3	PI4K2B
KLF4	CASP7
