#tail	head
BPY2C	MERTK
PSME3	MAX
PSME3	PSMC4
PSME3	SNAPC1
PSME3	UBQLN2
PSME3	CBX2
PSME3	CDC23
PSME3	SKP1
MMP9	CYP1A2
MMP9	SP1
MMP9	NQO1
MMP9	DEK
MMP9	SRC
MAP2K1	ATF3
MAP2K1	CAND1
MAP2K1	SRC
GAPDHS	DUSP26
GAPDHS	QDPR
GAPDHS	CRYL1
GAPDHS	PTP4A3
SNRPC	CDC5L
SNRPC	MTREX
SNRPC	RBM8A
SNRPC	GABARAPL2
SNRPC	CAND1
SNRPC	SNRPB2
QDPR	CRYL1
QDPR	TNKS
QDPR	COPS5
FAM83H	COPS5
HOXA10	COPS5
HOXA10	MYOD1
HOXA10	PAX2
DUSP26	FGR
DUSP26	EPHA3
DUSP26	SRC
DUSP26	CCDC6
DUSP26	NOG
TNKS	NOG
TNKS	PSMC4
TNKS	PSMB3
TNKS	SP1
UBA2	SRP14
UBA2	UBQLN2
UBA2	TRIP6
NDUFV3	TIMMDC1
NOG	NQO1
NOG	CLP1
NOG	INHBA
NOG	COL1A2
NOG	AIMP1
NOG	SHOX2
NOG	PAX2
NOG	ARGLU1
NOG	EIF2AK4
NOG	LRRTM4
NOG	EYA1
NOG	ATF3
NOG	VDR
NOG	CCDC140
NOG	AJUBA
NOG	RBM8A
NOG	ZNF710
NOG	MAX
NOG	SRC
NOG	MECOM
NOG	CBX2
GABARAPL2	VDR
GABARAPL2	KRT10
GABARAPL2	TSR2
SHOX2	VDR
SHOX2	MYOD1
PSMC4	CDC5L
PSMC4	SP1
PSMC4	UBQLN2
PSMC4	TRIP6
PSMC4	PSMB3
SP1	VDR
SP1	CTR9
SP1	MAX
SP1	IL11
SP1	MYOD1
SP1	SMAD4
SP1	ZNF710
SP1	SRC
SP1	ATF3
SP1	TFAP4
SP1	MTREX
SP1	ACTA1
SP1	SNAPC1
SP1	SPAST
SP1	RPS6KB1
SP1	CYP1A2
SP1	AP2M1
SPAST	AMPD3
SPAST	QTRT2
UBQLN2	AP2M1
UBQLN2	IL11
UBQLN2	TMEM123
UBQLN2	AARSD1
NUF2	DYNLL1
NUF2	CENPF
NUF2	MAX
NUF2	ATF3
ZNF710	DYNLL1
ZNF710	MYOD1
ZNF710	SMAD4
DEK	COPS5
DEK	CAND1
DEK	COL1A2
DEK	HIST1H2BL
DEK	HIST1H2BE
SUGT1	CDC5L
SUGT1	SKP1
SUGT1	SRC
SUGT1	HIST1H2BE
SUGT1	NEU4
CLP1	CPSF1
CLP1	CASC3
CLP1	RBM8A
CLP1	CDC5L
CLP1	SRSF1
CTR9	ACTBL2
CTR9	CPSF1
CBX2	HIST1H2BL
CBX2	HIST1H2BE
PAX2	MAX
PAX2	MECOM
PAX2	LRRTM4
PAX2	ITGB3BP
PAX2	CCDC140
PAX2	ATF3
PAX2	CDC5L
PAX2	RPS6KB1
KIDINS220	VDR
KIDINS220	MOB4
ATF3	AJUBA
ATF3	IL11
ATF3	ZBTB18
ATF3	EYA1
ATF3	SPRR1A
QTRT2	MYOD1
QTRT2	AMPD3
QTRT2	TFAP4
ZBTB18	IRF8
ZBTB18	ALX1
ZBTB18	EYA1
ZBTB18	VDR
SEC13	INCENP
SEC13	ITGB3BP
SEC13	SRC
SEC13	CASC3
SEC13	RBM8A
SEC13	PDHA1
SEC13	HSPA9
SEC13	JUP
SEC13	AP2M1
AIMP1	SRC
AIMP1	PDHA1
AIMP1	COPS5
CCDC6	SRC
CCDC6	MAX
TFAP4	IL11
TFAP4	MYOD1
TFAP4	SKP1
TFAP4	AJUBA
CYP1A2	PDHA1
CYP1A2	RPS6KB1
NQO1	PDHA1
ACP1	VDR
ACP1	COPS5
ACP1	EPHA3
ACP1	SRC
ACP1	ACTBL2
GDF11	INHBA
GDF11	GRM1
ACTBL2	COPS5
ACTBL2	COL1A2
ACTBL2	SRC
DYNLL1	PARD3
DYNLL1	MOB4
DYNLL1	CENPF
DYNLL1	COPS5
DYNLL1	AJUBA
DYNLL1	INCENP
