#tail	head
PTCH1	ZIC3
RPS16	RPS27
USE1	IVNS1ABP
USE1	HNRNPUL1
USE1	TRMT6
MRPS7	HIST1H3E
MRPS7	ZNF331
ELAVL2	U2SURP
ELAVL2	PLRG1
ELAVL2	STAU2
ZIC3	PIP4K2A
CHD8	PIP4K2A
RPS27	EIF4A3
RPS27	XPO1
LCA5	KNOP1
LCA5	YWHAG
KNOP1	HIST1H3E
DOCK6	XPO1
ZNF331	ZNF212
MC1R	TRNT1
EIF4A3	YWHAG
EIF4A3	U2SURP
EIF4A3	HNRNPUL1
EIF4A3	PRPF4
NF2	CKAP5
NF2	XPO1
GFPT2	PFKFB2
GFPT2	TTLL4
CKAP5	YWHAG
ZNF771	ZNF2
TRIM28	ZNF2
TRNT1	CTBP2
PRPF4	RBM42
PRPF4	HIST1H3E
HNRNPUL1	U2SURP
HNRNPUL1	TFIP11
HIST1H3E	U2SURP
TFIP11	U2SURP
