#tail	head
PPARG	TPM3
HNRNPK	HSPA8
LOXL4	GNPDA2
SNRPE	RAE1
SYNE1	HIST1H4B
BBC3	CST3
PDE4B	IGHG1
CACNB2	VDAC2
HLCS	PRKAB2
MAZ	IL11RA
MAZ	PATZ1
PCDH1	PLAG1
AASDHPPT	CS
GLI3	HDAC1
LDB3	KIAA1551
KRT31	CATIP
KRT31	WFDC6
PPARA	RBP2
TRERF1	CEBPG
FOXF1	HOXD13
FOXF1	PUSL1
SMAD9	APP
CNR2	TSPO2
FOXJ1	FOXD3
CCT5	TCP1
TPM3	JUN
ACTG2	APP
NME7	CCHCR1
IGHG1	TSC22D1
AGPAT1	PLA2G4A
AGPAT1	CPT2
COL13A1	ITGA2B
STK36	CDK9
LARP7	HSP90AB1
LARP7	HSPA8
ARID1B	HIST2H4B
FKBP1B	VDAC2
GAPDH	HIST1H4B
SMIM1	VIM
GCLM	AGPAT5
CEBPA	SIPA1L3
YEATS4	VIM
MED24	TCP1
TSPAN5	RETREG3
GNPDA2	UMPS
C7orf25	FZR1
CES4A	ACSL4
IGHV3-53	IRS1
NMT1	JUN
PRKAG2	EXOSC4
WDR33	HSPA8
AAK1	HNRNPL
GABPB2	MPDU1
GABPB2	CCT7
SPI1	MYOG
SPI1	HIST1H2BI
INTS13	CDK9
ZFP91	DDIT4L
FOXP3	RORA
PRKAG1	NAPG
HSPA8	RPS4X
HSPA8	NANOG
FGFR4	DUSP10
TCP1	ALKBH3
TCP1	FAM86B2
CD44	RDX
CD44	IGFBP3
AFF1	ZNF526
ALG8	DPEP1
CCND3	HNRNPL
SNRPB	HNRNPL
TFDP1	ZNF503
SLC7A5	ALDH3B1
YWHAE	IRS1
NDC1	APP
SESN3	SESN1
E2F3	GCM1
GUCY1A1	APP
CPT1A	ACSM5
DRG1	NAPG
UFL1	JUN
HDAC1	MGA
HDAC1	NACC2
FES	PTPN18
ADH1C	NME2
IGHV3-7	FYN
CROT	AHSG
CROT	GCAT
MTMR4	ELAVL1
RPRD1A	ELAVL1
TRIM32	UBE2D1
UBE2D1	TRIM36
RPL4	AAR2
RPL4	RPL27
HIST2H4B	ACOT7
SLC1A5	PAXIP1
GDNF	PIK3R3
GDNF	BCL2
PRMT8	HIST1H4B
DDX19B	APP
DDR1	DUSP10
SRRM1	ASH2L
BMP8B	FYN
NXF2	RAE1
UBE2E3	RNF165
TCEAL8	CEBPG
GSK3A	RAE1
UBE2D2	FBXW7
APP	ANXA2
TSC22D1	NDUFA9
FLT4	GRB2
JUN	TRMT6
JUN	MTDH
