#tail	head
RIPK2	TRAF6
GMPPB	DPPA4
B9D2	HSP90AA1
NFKBIE	HSP90AA1
HSPA4	HSP90AA1
HSPA4	NUP58
HSPA4	NOG
HSPA4	ZW10
HSPA4	IKBKG
ERCC8	COPS4
SRRM2	HIST1H3A
SRRM2	NEK4
SRRM2	TIMM50
TIMM50	CYFIP2
SMARCA2	HIST1H3A
SMARCA2	NCOR1
HSP90AA1	SREBF1
HSP90AA1	CCT2
HSP90AA1	RPS6KB2
HSP90AA1	IKBKG
HSP90AA1	TNFAIP3
HSP90AA1	IRS4
TRAF6	IGKV1-17
TRAF6	ZW10
RPS6KB2	PPP2CA
PPP2CA	IKBKG
PPP2CA	CCT2
TMEM200C	NOG
FEM1B	NKX3-1
COPS4	DCAF4
UGT1A6	DPM2
CHSY1	RUNX2
CHSY1	XYLT1
XYLT1	NOG
XYLT1	UGT2B10
NCOR1	NFKB1
NFKB1	TNFAIP3
NOG	RUNX2
RUNX2	MSRA
