#tail	head
NFRKB	MEAF6
MYOD1	FEZF2
DEFA1B	CNTNAP3
DEFA1B	IGFBP2
CENPT	HIST1H3C
CENPT	CENPN
CENPT	SPDL1
CENPT	PPP2R5C
STH	TLX3
STH	SMARCD1
CNTNAP3	SLAMF1
FLT1	DUSP2
NR1H4	HIST1H3C
NR1H4	NR3C1
DDB2	GTF2H1
SMARCD1	HIST1H4I
SMARCD1	HIST1H3C
MEAF6	KAT5
GATA3	LEAP2
GATA3	KAT5
SLAMF1	PLXNA2
KAT5	CYP2C19
KAT5	HIST1H4I
NCBP2	UPF3B
NCBP2	PPIL4
NCBP2	GTF2H1
PSMF1	PSMB6
CENPN	SPDL1
CENPN	HIST1H4I
NR3C1	GSTA3
NR3C1	JMJD1C
NR3C1	HIST1H3C
DUSP2	FES
PSMB6	PPP2R5C
HIST1H3C	PRDM6
PITX2	PLXNA2
JMJD1C	CYP2C19
HIST1H4I	SPDL1
